PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;AFSTAND;LEERLINGEN
20161001;00AO;00;VSO ZMOK De Bolster;7383BH;VOORST GEM VOORST;285;Voorst;Gelderland;Vso;Protestants-Christelijk;20137;5754,20338983051;118
20161001;00AO;01;VSO ZMOK De Bolster;7322CZ;APELDOORN;200;Apeldoorn;Gelderland;Vso;Protestants-Christelijk;20137;7950,05263157895;38
20161001;00AP;00;De Schanskorf;2715BT;ZOETERMEER;637;Zoetermeer;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;2316,625;80
20161001;00AR;00;"BS ""De Maasparel""";6107AW;STEVENSWEERT;1641;Maasgouw;Limburg;Bo;Rooms-Katholiek;41797;631,007407407407;135
20161001;00AV;00;De Morgenster;3201CN;SPIJKENISSE;1930;Nissewaard;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;1951,875;72
20161001;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;599;Rotterdam;Zuid-Holland;So;Protestants-Christelijk;62077;3380,95918367347;49
20161001;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;599;Rotterdam;Zuid-Holland;Vso;Protestants-Christelijk;62077;9523,27272727273;11
20161001;00AW;02;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;599;Rotterdam;Zuid-Holland;So;Protestants-Christelijk;62077;3782,58333333333;24
20161001;00AW;02;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;599;Rotterdam;Zuid-Holland;Vso;Protestants-Christelijk;62077;0;5
20161001;00AZ;00;De Kiezel en de Kei;2971AR;BLESKENSGRAAF CA;1927;Molenwaard;Zuid-Holland;Bo;Openbaar;41638;1883,42452830189;109
20161001;00BA;00;OBS De Klimboom;6666EB;HETEREN;1734;Overbetuwe;Gelderland;Bo;Openbaar;41530;321,445652173913;92
20161001;00BB;00;Obs Letterwies;9944AR;NIEUWOLDA;1895;Oldambt;Groningen;Bo;Openbaar;41613;191,301204819277;83
20161001;00BS;00;Geref Basisschool;7711KP;NIEUWLEUSEN;148;Dalfsen;Overijssel;Bo;Gereformeerd vrijgemaakt;41168;1460,41481481481;135
20161001;00BW;00;Jenaplanschool De Vlieger;6131KJ;SITTARD;1883;Sittard-Geleen;Limburg;Bo;Algemeen bijzonder;41516;2321,9801980198;110
20161001;00BZ;00;Geref SBO Het Speelwerk;8031HL;ZWOLLE;193;Zwolle;Overijssel;Sbo;Gereformeerd vrijgemaakt;41632;11500,71875;64
20161001;00CD;00;Basisschool Lockaert;5345JG;OSS;828;Oss;Noord-Brabant;Bo;Algemeen bijzonder;41228;254,941176470588;136
20161001;00CG;00;De Harlekijn;6372AC;LANDGRAAF;882;Landgraaf;Limburg;Bo;Openbaar;41516;477,22864321608;401
20161001;00CS;00;De Leilinde;9671JA;WINSCHOTEN;1895;Oldambt;Groningen;Bo;Gereformeerd vrijgemaakt;41025;5748,94366197183;71
20161001;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;1674;Roosendaal;Noord-Brabant;Bo;Antroposofisch;41246;4739,5;58
20161001;00CV;00;School Matthijsje;8388NA;OOSTERSTREEK;98;Weststellingwerf;Friesland;Bo;Algemeen bijzonder;20210;6015,26;50
20161001;00DA;00;Chr BS Betrouwen;9243SJ;BAKKEVEEN;86;Opsterland;Friesland;Bo;Protestants-Christelijk;30051;892,318181818182;66
20161001;00DD;00;Basissch Het Startnest;1422LE;UITHOORN;451;Uithoorn;Noord-Holland;Bo;Rooms-Katholiek;30090;327,677655677656;273
20161001;00DM;00;De Bolderik;5473PG;HEESWIJK-DINTHER;1721;Bernheze;Noord-Brabant;Bo;Openbaar;13674;161,385185185185;136
20161001;00DN;00;De Bundeling;6241BB;BUNDE;938;Meerssen;Limburg;Bo;Openbaar;42669;2155,90566037736;159
20161001;00DO;00;Van Rijckevorsel;3151CJ;HOEK VAN HOLLAND;599;Rotterdam;Zuid-Holland;Bo;Openbaar;41775;287,1875;128
20161001;00DW;00;De Trompetter;6986AT;ANGERLO;299;Zevenaar;Gelderland;Bo;Rooms-Katholiek;61284;481,625954198473;131
20161001;00DX;00;Vrije School Assen;9404KK;ASSEN;106;Assen;Drenthe;Bo;Antroposofisch;77456;5486,67469879518;166
20161001;00DY;00;Basisschool De Wegwijzer;8084GK;'T HARDE;230;Elburg;Gelderland;Bo;Gereformeerd vrijgemaakt;41632;70,3559322033898;118
20161001;00DZ;00;Agnieten-School;8081NB;ELBURG;230;Elburg;Gelderland;Bo;Rooms-Katholiek;40950;5348,93076923077;130
20161001;00EB;00;Bs Het Telraam;5441AK;OEFFELT;756;Boxmeer;Noord-Brabant;Bo;Rooms-Katholiek;48348;94,951871657754;187
20161001;00EH;00;Geref SSBO De Cirkel;2907TK;CAPELLE AAN DEN IJSSEL;502;Capelle aan den IJssel;Zuid-Holland;Sbo;Gereformeerd vrijgemaakt;41646;8638,93333333333;60
20161001;00EI;00;Reform Basisschool;3286BC;KLAASWAAL;611;Cromstrijen;Zuid-Holland;Bo;Reformatorisch;30133;1380,27586206897;145
20161001;00EM;00;SSBO De Wijngaard;2992KK;BARENDRECHT;489;Barendrecht;Zuid-Holland;Sbo;Reformatorisch;30185;9324,62732919255;161
20161001;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK;874;Woudrichem;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;5123,47540983607;61
20161001;00FG;00;BS De Triangel;7557KJ;HENGELO OV;164;Hengelo;Overijssel;Bo;Gereformeerd vrijgemaakt;41624;2810,62365591398;94
20161001;00FI;00;Samenw Basisschool Pork;9561CB;TER APEL;48;Vlagtwedde;Groningen;Bo;Algemeen bijzonder;45000;122,87323943662;219
20161001;00FQ;00;Montessori BS De Kraal;4691HT;THOLEN;716;Tholen;Zeeland;Bo;Algemeen bijzonder;30124;1760;62
20161001;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN;484;Alphen aan den Rijn;Zuid-Holland;Bo;Reformatorisch;20183;3616,43571428571;140
20161001;00GR;00;Kristal;8181VZ;HEERDE;246;Heerde;Gelderland;Bo;Gereformeerd vrijgemaakt;41632;1715,79591836735;98
20161001;00GV;00;Basisschool Maria-School;7661RA;VASSE;183;Tubbergen;Overijssel;Bo;Rooms-Katholiek;50949;690,204081632653;157
20161001;00GX;00;RK BS St Jacobus;6675BB;VALBURG;1734;Overbetuwe;Gelderland;Bo;Rooms-Katholiek;28147;181,293577981651;109
20161001;00GZ;00;Maharishi Basisschool;8226LP;LELYSTAD;995;Lelystad;Flevoland;Bo;Algemeen bijzonder;41335;1430,52066115702;121
20161001;00HA;00;Ref Basissch Augustinus;3851BH;ERMELO;233;Ermelo;Gelderland;Bo;Reformatorisch;30128;2549,45041322314;242
20161001;00HH;00;OBS De Vliete;4491GB;WISSENKERKE;1695;Noord-Beveland;Zeeland;Bo;Openbaar;41670;1131,19540229885;87
20161001;00HZ;00;Klavertje 4;3421XL;OUDEWATER;589;Oudewater;Utrecht;Bo;Algemeen bijzonder;20252;997,54;200
20161001;00IF;00;RK BS Heilig Hart;7666LH;FLERINGEN;183;Tubbergen;Overijssel;Bo;Rooms-Katholiek;50949;309,988372093023;86
20161001;00IH;00;De Horizon;6835HZ;ARNHEM;202;Arnhem;Gelderland;Sbo;Rooms-Katholiek;40812;2400,67105263158;152
20161001;00IJ;00;PC BS De Schaapskooi;7443HC;NIJVERDAL;163;Hellendoorn;Overijssel;Bo;Protestants-Christelijk;85600;21,6666666666667;243
20161001;00IM;00;Joos v Larensch;4341ER;ARNEMUIDEN;687;Middelburg;Zeeland;Bo;Reformatorisch;30145;270,056603773585;106
20161001;00JH;00;SSBO De Kameleon;7901JN;HOOGEVEEN;118;Hoogeveen;Drenthe;Sbo;Algemeen bijzonder;41414;5224,13235294118;68
20161001;00JL;00;SSBO Kingma;3817GA;AMERSFOORT;307;Amersfoort;Utrecht;Sbo;Algemeen bijzonder;21881;4421,39130434783;162
20161001;00JX;00;SSBO Wending;1187SM;AMSTELVEEN;362;Amstelveen;Noord-Holland;Sbo;Openbaar;41580;2500,54444444444;90
20161001;00JY;00;SSBO Kompas;1784MC;DEN HELDER;400;Den Helder;Noord-Holland;Sbo;Algemeen bijzonder;30742;3423,31343283582;134
20161001;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;505;Dordrecht;Zuid-Holland;So;Algemeen bijzonder;41417;5883,91489361702;188
20161001;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;505;Dordrecht;Zuid-Holland;Vso;Algemeen bijzonder;41417;8743,54545454545;11
20161001;00KM;00;Het Penta College;7552HA;HENGELO OV;164;Hengelo;Overijssel;Vso;Algemeen bijzonder;25859;6302,71739130435;92
20161001;00KM;21;Mota;7602PD;ALMELO;141;Almelo;Overijssel;Vso;Algemeen bijzonder;25859;12253,8796992481;134
20161001;00KM;22;Scholengroep Twente Speciaal;7602XR;ALMELO;141;Almelo;Overijssel;So;Algemeen bijzonder;25859;8431,31481481482;109
20161001;00KM;23;Scholengroep Twente Speciaal;7604JE;ALMELO;141;Almelo;Overijssel;Vso;Algemeen bijzonder;25859;7679,89690721649;97
20161001;00KM;32;De Bouwsteen;7555SG;HENGELO OV;164;Hengelo;Overijssel;So;Algemeen bijzonder;25859;16451,2;20
20161001;00KM;32;De Bouwsteen;7555SG;HENGELO OV;164;Hengelo;Overijssel;Vso;Algemeen bijzonder;25859;6762,80303030303;66
20161001;00KM;33;De Kapstok;7554TP;HENGELO OV;164;Hengelo;Overijssel;Vso;Algemeen bijzonder;25859;11188,2666666667;15
20161001;00KM;34;De Kapstok;7556BV;HENGELO OV;164;Hengelo;Overijssel;Vso;Algemeen bijzonder;25859;9131;10
20161001;00KM;35;De Kapstok;7554RL;HENGELO OV;164;Hengelo;Overijssel;Vso;Algemeen bijzonder;25859;11944,7272727273;22
20161001;00KM;36;De Kapstok;7555CS;HENGELO OV;164;Hengelo;Overijssel;Vso;Algemeen bijzonder;25859;13608,7;40
20161001;00KM;39;De Kapstok;7556BV;HENGELO OV;164;Hengelo;Overijssel;Vso;Algemeen bijzonder;25859;11155,8666666667;15
20161001;00KM;40;De Kapstok;7556BV;HENGELO OV;164;Hengelo;Overijssel;Vso;Algemeen bijzonder;25859;9497,5;10
20161001;00KM;41;De Zevensprong;7552MT;HENGELO OV;164;Hengelo;Overijssel;So;Algemeen bijzonder;25859;5269,3488372093;43
20161001;00KM;42;Het Mozaiek;7552JR;HENGELO OV;164;Hengelo;Overijssel;So;Algemeen bijzonder;25859;6033,26285714286;175
20161001;00KM;43;De Kapstok;7555ED;HENGELO OV;164;Hengelo;Overijssel;Vso;Algemeen bijzonder;25859;8738,30508474576;60
20161001;00KM;47;De Kapstok;7575CB;OLDENZAAL;173;Oldenzaal;Overijssel;Vso;Algemeen bijzonder;25859;12254,8695652174;23
20161001;00KM;48;De Kapstok;7475NZ;MARKELO;1735;Hof van Twente;Overijssel;Vso;Algemeen bijzonder;25859;22998;6
20161001;00KM;49;De Kapstok;7547TE;ENSCHEDE;153;Enschede;Overijssel;Vso;Algemeen bijzonder;25859;5216;11
20161001;00KM;52;Panta Rhei;7522AR;ENSCHEDE;153;Enschede;Overijssel;Vso;Algemeen bijzonder;25859;7956,36956521739;92
20161001;00KM;55;Attendiz;7601CT;ALMELO;141;Almelo;Overijssel;So;Algemeen bijzonder;25859;4244,68888888889;45
20161001;00KM;56;Het Penta College;7573CW;OLDENZAAL;173;Oldenzaal;Overijssel;Vso;Algemeen bijzonder;25859;4734,55555555556;18
20161001;00KU;00;SBO de Windroos;6545LX;NIJMEGEN;268;Nijmegen;Gelderland;Sbo;Protestants-Christelijk;29810;2015,8623853211;111
20161001;00KX;00;Herman Broerenschool;6045GL;ROERMOND;957;Roermond;Limburg;So;Rooms-Katholiek;26132;8221,296875;64
20161001;00KX;00;Herman Broerenschool;6045GL;ROERMOND;957;Roermond;Limburg;Vso;Rooms-Katholiek;26132;8898,625;96
20161001;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;867;Waalwijk;Noord-Brabant;Sbo;Rooms-Katholiek;71008;3453,54605263158;152
20161001;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;86;Opsterland;Friesland;So;Algemeen bijzonder;42665;18893,3032786885;122
20161001;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;86;Opsterland;Friesland;Vso;Algemeen bijzonder;42665;23433,8470588235;85
20161001;00LH;00;Prins W Alexanderschool;5504NC;VELDHOVEN;861;Veldhoven;Noord-Brabant;So;Rooms-Katholiek;77338;7090,27868852459;61
20161001;00LH;00;Prins W Alexanderschool;5504NC;VELDHOVEN;861;Veldhoven;Noord-Brabant;Vso;Rooms-Katholiek;77338;6169,97272727273;110
20161001;00LS;00;SBO Het Palet;6006AH;WEERT;988;Weert;Limburg;Sbo;Rooms-Katholiek;50819;4455,31818181818;110
20161001;00MI;00;SSBO De Piramide;5531BX;BLADEL;1728;Bladel;Noord-Brabant;Sbo;Rooms-Katholiek;44201;7871,31147540984;123
20161001;00MN;00;Chr SSBO De Burcht;2983AK;RIDDERKERK;597;Ridderkerk;Zuid-Holland;Sbo;Protestants-Christelijk;80433;4773,6935483871;124
20161001;00MS;00;SSBO Prof Waterink;7772CX;HARDENBERG;160;Hardenberg;Overijssel;Sbo;Protestants-Christelijk;40946;5209,35537190083;123
20161001;00MU;00;De Witakker;8572WG;RIJS;1940;De Fryske Marren;Friesland;So;Algemeen bijzonder;41414;22191,35;20
20161001;00MU;00;De Witakker;8572WG;RIJS;1940;De Fryske Marren;Friesland;Vso;Algemeen bijzonder;41414;21028,2333333333;30
20161001;00MU;07;De Witakker;8608WK;SNEEK;1900;S∑dwest-Frysl‘n;Friesland;So;Algemeen bijzonder;41414;19207,125;8
20161001;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;715;Terneuzen;Zeeland;Sbo;Algemeen bijzonder;40876;7339,09322033898;118
20161001;00NT;00;Prof Dr Leo Kannerschool;2342AK;OEGSTGEEST;579;Oegstgeest;Zuid-Holland;So;Algemeen bijzonder;30968;8039,29299363057;157
20161001;00NT;01;Prof Dr Leo Kannerschool;2713VM;ZOETERMEER;637;Zoetermeer;Zuid-Holland;So;Algemeen bijzonder;30968;4779,15714285714;70
20161001;00NT;02;Prof. Dr. Leo Kannerschool;2352CZ;LEIDERDORP;547;Leiderdorp;Zuid-Holland;Vso;Algemeen bijzonder;30968;9023,38823529412;85
20161001;00NT;03;Prof Dr Leo Kannerschool;2324JM;LEIDEN;546;Leiden;Zuid-Holland;Vso;Algemeen bijzonder;30968;9170,58275862069;290
20161001;00NT;05;Prof Dr Leo Kannerschool;2343SZ;OEGSTGEEST;579;Oegstgeest;Zuid-Holland;Vso;Algemeen bijzonder;30968;12005,844765343;278
20161001;00NT;09;Prof Dr Leo Kannerschool;2342AK;OEGSTGEEST;579;Oegstgeest;Zuid-Holland;So;Algemeen bijzonder;30968;13695,2352941176;34
20161001;00NT;09;Prof Dr Leo Kannerschool;2342AK;OEGSTGEEST;579;Oegstgeest;Zuid-Holland;Vso;Algemeen bijzonder;30968;13658,15625;32
20161001;00NY;00;SSBO De Veste;4691CK;THOLEN;716;Tholen;Zeeland;Sbo;Algemeen bijzonder;40876;6554,81081081081;37
20161001;00OJ;00;Klimopschool;4335XG;MIDDELBURG;687;Middelburg;Zeeland;So;Algemeen bijzonder;41312;5281,83783783784;37
20161001;00OJ;00;Klimopschool;4335XG;MIDDELBURG;687;Middelburg;Zeeland;Vso;Algemeen bijzonder;41312;5350,94680851064;94
20161001;00ON;00;Entrea Onderwijs Nijmegen;6574NA;UBBERGEN;1945;Berg en Dal;Gelderland;So;Rooms-Katholiek;32216;10120,3551401869;109
20161001;00ON;01;PI Sch Ubbergen Nijmegen;6574NA;UBBERGEN;1945;Berg en Dal;Gelderland;So;Rooms-Katholiek;32216;8770,3698630137;73
