PEILDATUM;BRIN_NUMMER;BEVOEGD_GEZAG_NUMMER;TOTAAL_AANTAL_LEERLINGEN;AANTAL_LEERLINGEN_4_TOT_EN_MET_7_JAAR;AANTAL_LEERLINGEN_8_JAAR_EN_OUDER;AANTAL_GROEPEN;SCHOOLGEWICHT;GROEPSAFHANKELIJKE_MI;LEERLINGAFHANKELIJKE_MI;AANVULLENDE_MI;TOTAAL_MI
20141001;22JI;41520;116;49;67;5;0;47.910,00;50.660,62;130,86;98.701,48
20141001;22JJ;41611;129;44;85;5;0;47.910,00;54.731,70;150,74;102.792,44
20141001;22JK;13674;153;69;84;7;15;59.322,00;62.560,70;1.025,46;122.908,16
20141001;22JM;41611;507;233;274;21;0;147.693,00;176.864,10;1.283,90;325.841,00
20141001;22JO;83280;249;118;131;10;0;77.757,00;93.563,54;190,50;171.511,04
20141001;22JP;41398;162;75;87;7;0;59.322,00;65.379,14;130,86;124.832,00
20141001;22JQ;24533;286;142;144;12;0;90.047,00;105.463,62;210,38;195.721,00
20141001;22JR;41362;140;49;91;6;0;53.177,00;58.489,62;130,86;111.797,48
20141001;22JV;60997;257;130;127;11;0;83.902,00;96.068,82;130,86;180.101,68
20141001;22JY;32177;178;79;99;7;1;59.322,00;70.702,86;170,62;130.195,48
20141001;22KA;41251;428;189;239;18;0;129.258,00;151.184,98;1.661,62;282.104,60
20141001;22KB;41251;288;160;128;12;0;90.047,00;106.089,94;866,42;197.003,36
20141001;22KC;42538;373;169;204;15;0;110.823,00;133.648,02;846,54;245.317,56
20141001;22KD;41527;261;106;155;11;17;83.902,00;97.321,46;2.397,18;183.620,64
20141001;22KE;41194;436;188;248;18;14;129.258,00;154.003,42;2.377,30;285.638,72
20141001;22KF;40765;471;220;251;20;0;141.548,00;165.277,18;1.780,90;308.606,08
20141001;22KG;42504;266;121;145;11;0;83.902,00;98.887,26;568,22;183.357,48
20141001;22KH;41516;340;167;173;14;4;104.678,00;123.000,58;647,74;228.326,32
20141001;22KJ;40355;79;36;43;4;0;40.010,00;38.760,54;170,62;78.941,16
20141001;22KK;41349;234;101;133;10;0;77.757,00;88.866,14;389,30;167.012,44
20141001;22KL;69877;216;118;98;9;0;71.612,00;82.916,10;170,62;154.698,72
20141001;22KM;42557;57;18;39;3;0;30.939,00;31.557,86;0,00;62.496,86
20141001;22KN;41866;146;60;86;6;1;53.177,00;60.368,58;607,98;114.153,56
20141001;22KO;42669;187;96;91;8;0;65.467,00;73.521,30;190,50;139.178,80
20141001;22KP;41676;285;135;150;12;16;90.047,00;105.150,46;1.681,50;196.878,96
20141001;22KS;41435;302;167;135;13;15;96.192,00;110.787,34;528,46;207.507,80
20141001;22KT;71008;160;64;96;6;0;53.177,00;64.752,82;210,38;118.140,20
20141001;22KU;41471;317;152;165;13;0;96.192,00;115.484,74;647,74;212.324,48
20141001;22KV;41471;326;157;169;14;0;104.678,00;118.303,18;528,46;223.509,64
20141001;22KY;40945;188;90;98;8;0;65.467,00;73.834,46;130,86;139.432,32
20141001;22LE;41774;498;267;231;21;0;147.693,00;173.732,50;1.860,42;323.285,92
20141001;22LI;41662;76;26;50;4;1;40.010,00;37.821,06;190,50;78.021,56
20141001;22LJ;40207;249;124;125;10;0;77.757,00;93.563,54;965,82;172.286,36
20141001;22LK;80433;307;135;172;13;4;96.192,00;112.353,14;1.323,66;209.868,80
20141001;22LL;61751;439;216;223;18;0;129.258,00;154.942,90;289,90;284.490,80
20141001;22LM;41366;393;168;225;18;4;141.762,00;139.911,22;329,66;282.002,88
20141001;22LN;40967;123;73;50;6;0;53.177,00;52.852,74;150,74;106.180,48
20141001;22LO;41362;660;266;394;27;0;184.563,00;226.030,22;130,86;410.724,08
20141001;22LT;30700;109;42;67;5;0;47.910,00;48.468,50;170,62;96.549,12
20141001;22LU;40278;118;52;66;5;0;47.910,00;51.286,94;349,54;99.546,48
20141001;22LV;42607;66;32;34;4;0;40.010,00;34.376,30;130,86;74.517,16
20141001;22LW;30703;257;129;128;12;45;90.047,00;96.068,82;1.621,86;187.737,68
20141001;22LX;41632;70;26;44;4;0;40.010,00;35.942,10;0,00;75.952,10
20141001;22LY;40377;421;188;233;17;0;123.113,00;148.992,86;1.164,62;273.270,48
20141001;22LZ;30701;206;103;103;9;0;71.612,00;79.784,50;0,00;151.396,50
20141001;22MB;41390;151;86;65;7;0;59.322,00;61.934,38;488,70;121.745,08
20141001;22MD;20671;249;133;116;11;0;83.902,00;93.563,54;150,74;177.616,28
20141001;22MH;30709;447;220;227;19;4;135.403,00;157.448,18;429,06;293.280,24
20141001;22MP;30715;470;227;243;20;0;141.548,00;164.964,02;528,46;307.040,48
20141001;22NL;41246;262;129;133;12;0;105.477,00;97.634,62;130,86;203.242,48
20141001;22NM;30725;245;124;121;11;44;83.902,00;92.310,90;3.669,50;179.882,40
20141001;22NT;30731;246;124;122;12;78;90.047,00;92.624,06;4.802,66;187.473,72
20141001;22NW;41565;341;160;181;14;0;104.678,00;123.313,74;0,00;227.991,74
20141001;22OD;79796;231;105;126;10;0;77.757,00;87.613,50;230,26;165.600,76
20141001;23AD;83280;71;34;37;4;0;40.010,00;36.255,26;230,26;76.495,52
