PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;AFSTAND;LEERLINGEN
20151001;12YB;00;Obs de Sterrekijker;1945TT;BEVERWIJK;375;Beverwijk;Noord-Holland;Bo;Openbaar;41375;711,540880503145;318
20151001;12YE;00;obs De Meerpaal;4535ED;TERNEUZEN;715;Terneuzen;Zeeland;Bo;Openbaar;40803;1425,4236453202;204
20151001;12YF;00;Obs de Peppel;1775AX;MIDDENMEER;1911;Hollands Kroon;Noord-Holland;Bo;Openbaar;41438;1447,59183673469;98
20151001;12YL;00;Basisschool de Trime;9244EW;BEETSTERZWAAG;86;Opsterland;Friesland;Bo;Openbaar;41806;840,549019607843;51
20151001;12YM;00;WereldKidz Op Dreef;3706EW;ZEIST;355;Zeist;Utrecht;Bo;Openbaar;41496;1371,02380952381;168
20151001;12YO;00;Bs de Zonnewijzer;7431BH;DIEPENVEEN;150;Deventer;Overijssel;Bo;Rooms-Katholiek;23128;994,382352941176;136
20151001;12YQ;00;BS Holthuizen;7482ET;HAAKSBERGEN;158;Haaksbergen;Overijssel;Bo;Rooms-Katholiek;25351;148,534798534799;273
20151001;12YU;00;Basisschool de Regenboog;3225AC;HELLEVOETSLUIS;530;Hellevoetsluis;Zuid-Holland;Bo;Protestants-Christelijk;41507;432,855123674912;283
20151001;12YV;00;Keuchenius;3262CL;OUD-BEIJERLAND;584;Oud-Beijerland;Zuid-Holland;Bo;Protestants-Christelijk;41127;522,639344262295;122
20151001;12YY;00;Bs Louise de Coligny;6711JD;EDE GLD;228;Ede;Gelderland;Bo;Protestants-Christelijk;42587;817,441295546559;247
20151001;12YZ;00;Oranje Nassau;3353AT;PAPENDRECHT;590;Papendrecht;Zuid-Holland;Bo;Protestants-Christelijk;43928;375,228187919463;152
20151001;12ZA;00;De Groene Hoek;3142LC;MAASSLUIS;556;Maassluis;Zuid-Holland;Bo;Protestants-Christelijk;41338;560,741258741259;286
20151001;12ZD;00;Basissch Montessorisch;6524SL;NIJMEGEN;268;Nijmegen;Gelderland;Bo;Rooms-Katholiek;47100;907,740425531915;237
20151001;12ZE;00;bs Ondersteboven;6237NP;MOORVELD;938;Meerssen;Limburg;Bo;Rooms-Katholiek;41506;945,688888888889;90
20151001;12ZG;00;Basisschool de Kameleon;3607BL;MAARSSEN;1904;Stichtse Vecht;Utrecht;Bo;Rooms-Katholiek;52131;418,747330960854;281
20151001;12ZH;00;CBS De Schalmei;8314AH;BANT;171;Noordoostpolder;Flevoland;Bo;Protestants-Christelijk;52274;298,223404255319;95
20151001;12ZI;00;BS Groen van Prinsterer;8321VW;URK;184;Urk;Flevoland;Bo;Protestants-Christelijk;53015;132,057851239669;242
20151001;12ZJ;00;OEC.Basisschool De Kubus;8026PS;ZWOLLE;193;Zwolle;Overijssel;Bo;Rooms-Katholiek;40888;439,283018867925;53
20151001;12ZL;00;Zevensprong;1701MD;HEERHUGOWAARD;398;Heerhugowaard;Noord-Holland;Bo;Rooms-Katholiek;73919;563,467289719626;214
20151001;12ZN;00;Chr Basisschool Eltheto;7671GG;VRIEZENVEEN;1700;Twenterand;Overijssel;Bo;Protestants-Christelijk;61751;113,87072243346;263
20151001;12ZO;00;De Schouw Basisschool;3432XV;NIEUWEGEIN;356;Nieuwegein;Utrecht;Bo;Rooms-Katholiek;61517;311,332439678284;373
20151001;12ZQ;00;De Bongerd;7577LL;OLDENZAAL;173;Oldenzaal;Overijssel;Bo;Rooms-Katholiek;75219;330,908319185059;589
20151001;12ZR;00;Basisschool de Duizendpoot;5231BV;'S-HERTOGENBOSCH;796;'s-Hertogenbosch;Noord-Brabant;Bo;Rooms-Katholiek;74049;72,3744292237443;219
20151001;12ZS;00;Immanuel;1063KX;AMSTERDAM;363;Amsterdam;Noord-Holland;Bo;Protestants-Christelijk;81316;492,135265700483;207
20151001;12ZT;00;Basissch De Tamboerijn;4201GT;GORINCHEM;512;Gorinchem;Zuid-Holland;Bo;Protestants-Christelijk;41396;351,141104294479;163
20151001;12ZW;00;Bs met de Bijbel Diermen;3882PE;PUTTEN;273;Putten;Gelderland;Bo;Reformatorisch;40862;2963,88;25
20151001;12ZX;00;Basissch Simon Havinga;8604AS;SNEEK;1900;Súdwest-Fryslân;Friesland;Bo;Protestants-Christelijk;42545;210,65371024735;283
20151001;13AA;00;OBS Sprinkels;7944EE;MEPPEL;119;Meppel;Drenthe;Bo;Openbaar;41629;426,121900826446;484
20151001;13AE;00;Basisschool Montessori;1902GK;CASTRICUM;383;Castricum;Noord-Holland;Bo;Openbaar;41191;866,966666666667;150
20151001;13AF;00;Basisschool Honesch;7481VB;HAAKSBERGEN;158;Haaksbergen;Overijssel;Bo;Openbaar;25351;752,854166666667;96
20151001;13AK;00;Obs de Tiende Penning;3237AN;VIERPOLDERS;501;Brielle;Zuid-Holland;Bo;Openbaar;41570;444,578431372549;103
20151001;13AL;00;Brinkschool;9751RL;HAREN GN;17;Haren;Groningen;Bo;Openbaar;41851;832,984293193717;191
20151001;13AL;01;Basisschool de Linde;9751GA;HAREN GN;17;Haren;Groningen;Bo;Openbaar;41851;1589,375;96
20151001;13AN;00;WereldKidz Achtbaan;3906AD;VEENENDAAL;345;Veenendaal;Utrecht;Bo;Openbaar;41496;2510,41807909605;177
20151001;13AO;00;Dr. J.P. Thysseschool;6871HV;RENKUM;274;Renkum;Gelderland;Bo;Openbaar;41461;2506,65882352941;171
20151001;13AQ;00;OBS De Regenboog;4005VH;TIEL;281;Tiel;Gelderland;Bo;Openbaar;41876;1022,14516129032;248
20151001;13AR;00;De Parachute;2274TZ;VOORBURG;1916;Leidschendam-Voorburg;Zuid-Holland;Bo;Openbaar;41447;561,707865168539;178
20151001;13AS;00;Basissch de Takkenbosse;3281JH;NUMANSDORP;611;Cromstrijen;Zuid-Holland;Bo;Openbaar;41444;617,380566801619;247
20151001;13AT;00;OBS De Keikamp;7274AX;GEESTEREN GLD;1859;Berkelland;Gelderland;Bo;Openbaar;41413;167,816326530612;98
20151001;13AY;00;Obs de Tandem;3262CL;OUD-BEIJERLAND;584;Oud-Beijerland;Zuid-Holland;Bo;Openbaar;41444;1457,76951672862;538
20151001;13AZ;00;'t Kienholt;7908BJ;HOOGEVEEN;118;Hoogeveen;Drenthe;Bo;Openbaar;42557;452,518867924528;106
20151001;13AZ;01;'t Kienholt;7933PX;PESSE;118;Hoogeveen;Drenthe;Bo;Openbaar;42557;531,463157894737;95
20151001;13BB;00;Obs Prinses Irene;4507BC;SCHOONDIJKE;1714;Sluis;Zeeland;Bo;Openbaar;41637;312,263157894737;38
20151001;13BC;00;obs Duo 2002;3027AR;ROTTERDAM;599;Rotterdam;Zuid-Holland;Bo;Openbaar;41775;808,809278350515;194
20151001;13BC;01;Duo 2002, loc. de Starrenburg;3027SN;ROTTERDAM;599;Rotterdam;Zuid-Holland;Bo;Openbaar;41775;769,35652173913;116
20151001;13BD;00;SBS Dubelspan;8635MD;BOAZUM;140;Littenseradiel;Friesland;Bo;Openbaar;41856;373,30303030303;33
20151001;13BE;00;Basissch J. Henri Dunant;4261CL;WIJK EN AALBURG;738;Aalburg;Noord-Brabant;Bo;Openbaar;41878;390,578125;128
20151001;13BF;00;De Carrousel;6904BE;ZEVENAAR;299;Zevenaar;Gelderland;Bo;Openbaar;77235;2202,73732718894;219
20151001;13BG;00;Onder de Wieken;3264AB;NIEUW-BEIJERLAND;588;Korendijk;Zuid-Holland;Bo;Openbaar;41444;194,104347826087;115
20151001;13BI;00;Johanna Huiskamp;6961DM;EERBEEK;213;Brummen;Gelderland;Bo;Openbaar;41566;131,38255033557;149
20151001;13BK;00;Opb Basissch de Bongerd;7396AT;TERWOLDE;285;Voorst;Gelderland;Bo;Openbaar;41566;611,625698324022;179
20151001;13BL;00;Dalton BS de Oosterbrink;8392NK;BOIJL;98;Weststellingwerf;Friesland;Bo;Openbaar;41631;3020,81052631579;95
20151001;13BM;00;Obs de Tweemaster;9675AZ;WINSCHOTEN;1895;Oldambt;Groningen;Bo;Openbaar;41613;1664,73127753304;227
20151001;13BP;00;OBS 't Karregat;5642ST;EINDHOVEN;772;Eindhoven;Noord-Brabant;Bo;Openbaar;41248;2434,02801120448;357
20151001;13BQ;00;Master;8602BK;SNEEK;1900;Súdwest-Fryslân;Friesland;Bo;Openbaar;42546;1975,89805825243;206
20151001;13BR;00;De Grosthuizer Basissch;1633EP;AVENHORN;1598;Koggenland;Noord-Holland;Bo;Openbaar;41421;1576,89333333333;75
20151001;13BS;00;Obs de Koet;1679GJ;MIDWOUD;420;Medemblik;Noord-Holland;Bo;Openbaar;41421;478,806201550388;258
20151001;13BT;00;De Tsjelke;9151JN;HOLWERD;58;Dongeradeel;Friesland;Bo;Openbaar;41492;1328,05479452055;73
20151001;13BU;00;De Waerdenburght;4181CK;WAARDENBURG;304;Neerijnen;Gelderland;Bo;Openbaar;41561;153,243902439024;82
20151001;13BV;00;Basisschool Canada;7006AD;DOETINCHEM;222;Doetinchem;Gelderland;Bo;Openbaar;41371;995,217948717949;234
20151001;13BW;00;De Springschans;1851MA;HEILOO;399;Heiloo;Noord-Holland;Bo;Openbaar;41191;397,752173913043;230
20151001;13BY;00;Basisschool de Knotwilg;3355AJ;PAPENDRECHT;590;Papendrecht;Zuid-Holland;Bo;Openbaar;41560;396;251
20151001;13BY;01;Basisschool de Knotwilg;3352BM;PAPENDRECHT;590;Papendrecht;Zuid-Holland;Bo;Openbaar;41560;990,695364238411;151
