PEILDATUM_LEERLINGEN;PRIKDATUM_SCORES;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEERJAAR_8;ONTHEFFING_REDEN_ND;CET_AANTAL;CET_GEM;IEP_AANTAL;IEP_GEM;ROUTE8_AANTAL;ROUTE8_GEM
20160415;20160722;13KK;00;Cornelis Musiusschool;2628SR;DELFT; 503;Delft;Zuid-Holland;Bo;Rooms-Katholiek;40928;10;0;10;529,5;0; ;0;
20160415;20160722;13KM;00;Basissch de Lindegaerd;6231BP;MEERSSEN; 938;Meerssen;Limburg;Bo;Rooms-Katholiek;41506;23;0;23;537,739130434783;0; ;0;
20160415;20160722;13KN;00;CBS Sjaloom;8313AR;RUTTEN; 171;Noordoostpolder;Flevoland;Bo;Protestants-Christelijk;52274;5;0;5;538;0; ;0;
20160415;20160722;13KQ;00;Sint Jozef Basisschool;1131DZ;VOLENDAM; 385;Edam-Volendam;Noord-Holland;Bo;Rooms-Katholiek;72853;29;0;29;534,275862068965;0; ;0;
20160415;20160722;13KR;00;De Wendakker;7576VR;OLDENZAAL; 173;Oldenzaal;Overijssel;Bo;Rooms-Katholiek;75219;27;0;27;535,740740740741;0; ;0;
20160415;20160722;13KS;00;Samen Onderweg;4205PG;GORINCHEM; 512;Gorinchem;Zuid-Holland;Bo;Protestants-Christelijk;41396;44;0;44;531,113636363636;0; ;0;
20160415;20160722;13KT;00;Dreefschool v PC Bso;2012HS;HAARLEM; 392;Haarlem;Noord-Holland;Bo;Protestants-Christelijk;85255;53;1;0; ;52;85,6346153846154;0;
20160415;20160722;13KU;00;Dr. H. Boumanschool;8262TZ;KAMPEN; 166;Kampen;Overijssel;Bo;Protestants-Christelijk;41125;27;0;0; ;0; ;27;190,555555555556
20160415;20160722;13KV;00;Bs md Bijbel v Damschool;3881JC;PUTTEN; 273;Putten;Gelderland;Bo;Protestants-Christelijk;40667;10;0;10;532,8;0; ;0;
20160415;20160722;13KW;00;Chr BS De Vuurvlinder;8607GM;SNEEK;1900;Súdwest-Fryslân;Friesland;Bo;Protestants-Christelijk;42545;62;0;0; ;62;81,3064516129032;0;
20160415;20160722;13KX;00;Ichthusschool;1068SJ;AMSTERDAM; 363;Amsterdam;Noord-Holland;Bo;Protestants-Christelijk;81316;25;0;25;531,04;0; ;0;
20160415;20160722;13KZ;00;Basisschool Plaggenborg;9551TG;SELLINGEN;  48;Vlagtwedde;Groningen;Bo;Openbaar;10925;2;0;2; ;0; ;0;
20160415;20160722;13LA;00;Ekkelhof;9533PL;DROUWEN;1681;Borger-Odoorn;Drenthe;Bo;Openbaar;42554;9;0;9;532,333333333333;0; ;0;
20160415;20160722;13LB;00;Het Palet;7771XE;HARDENBERG; 160;Hardenberg;Overijssel;Bo;Openbaar;41630;4;0;0; ;0; ;4;
20160415;20160722;13LE;00;Obs Branding;3232DA;BRIELLE; 501;Brielle;Zuid-Holland;Bo;Openbaar;41570;37;2;34;531,852941176471;0; ;0;
20160415;20160722;13LF;00;BS De Westhoek;3145SZ;MAASSLUIS; 556;Maassluis;Zuid-Holland;Bo;Openbaar;41535;23;2;21;533,333333333333;0; ;0;
20160415;20160722;13LI;00;Valkhof Obs v Daltonond;9301SP;RODEN;1699;Noordenveld;Drenthe;Bo;Openbaar;11711;50;0;50;532,18;0; ;0;
20160415;20160722;13LM;00;Basisschool de Singel;3112GH;SCHIEDAM; 606;Schiedam;Zuid-Holland;Bo;Openbaar;41567;105;0;105;529,552380952381;0; ;0;
20160415;20160722;13LO;00;Bs Giethoorn Zuid;8355BT;GIETHOORN;1708;Steenwijkerland;Overijssel;Bo;Openbaar;41816;15;0;15;532,8;0; ;0;
20160415;20160722;13LR;00;Obs Kleyenburg;8801KK;FRANEKER;  70;Franekeradeel;Friesland;Bo;Openbaar;41361;21;0;21;528,52380952381;0; ;0;
20160415;20160722;13LV;00;Obs de Schuttershoek;4515EA;IJZENDIJKE;1714;Sluis;Zeeland;Bo;Openbaar;41637;14;1;0; ;13;74,2307692307692;0;
20160415;20160722;13LW;00;obs de Boog Bospolder;3025EJ;ROTTERDAM; 599;Rotterdam;Zuid-Holland;Bo;Openbaar;41775;8;1;7;530,857142857143;0; ;0;
20160415;20160722;13LX;00;Obs de Butte;9631TE;BORGERCOMPAGNIE;  47;Veendam;Groningen;Bo;Openbaar;41780;2;0;0; ;2; ;0;
