BEVOEGD GEZAG NUMMER;GROEPERING;BEVOEGD GEZAG NAAM;JAAR;3.1.1 - RIJKSBIJDRAGEN OCW/EZ;3.1.1.1 - RIJKSBIJDRAGE OCW;3.1.1.2 - RIJKSBIJDRAGE EZ;3.1.2 - OVERIGE SUBSIDIES OCW/EZ;3.1.2.1 - OVERIGE SUBSIDIES OCW/EZ;3.1.2.1.1 - OVERIGE SUBSIDIES OCW;3.1.2.1.2 - GEOORMERKTE SUBSIDIES;3.1.2.2 - OVERIGE SUBSIDIES EZ;3.1.2.2.1 - OVERIGE SUBSIDIES EZ;3.1.2.2.2 - NIET-GEOORMERKTE SUBSIDIES;3.1.2.3.1 - TOEREKENING INVESTERINGSSUBSIDIES;3.1.3 - AF: INKOMENSOVERDRACHTEN;3.1.3.2 - DOORBETALINGEN RIJKSBIJDRAGE SWV;3.1.3T - INKOMENSOVERDRACHTEN;3.1.4 - ONTVANGEN DOORBETALINGEN RIJKSBIJDRAGE SWV;3.1.4.1 - ONTVANGEN DOORBETALINGEN RIJKSBIJDRAGE SWV;3.1T - RIJKSBIJDRAGEN;3.2.1 - PARTICIPATIEBUDGET;3.2.1.1 - BIJDRAGE EDUCATIE;3.2.1.3 - REÏNTEGRATIE;3.2.1.4 - INBURGERING;3.2.1T - PARTICIPATIEBUDGET;3.2.2 - OVERIGE OVERHEIDSBIJDRAGEN EN -SUBSIDIES;3.2T - OVERIGE OVERHEIDSBIJDRAGEN EN -SUBSIDIES
10249;PO6;Gem Emmen Sec L & Z Ondw;2011;26.378.634;26.378.634;;2.385.402;2.385.402;55.117;;;2.330.285;;;;;;;;28.764.036;;;;;;3.182.128;3.182.128
10249;PO6;Gem Emmen Sec L & Z Ondw;2012;25.874.902;25.874.902;;2.539.578;2.539.578;;;;2.539.578;;;;;;;;28.414.480;;;;;;2.820.047;2.820.047
10249;PO6;Gem Emmen Sec L & Z Ondw;2013;25.773.326;25.773.326;;3.719.843;3.719.843;;;;3.719.843;;;;;;;;29.493.169;;;;;;2.431.793;2.431.793
10249;PO6;Gem Emmen Sec L & Z Ondw;2014;25.685.442;25.685.442;;2.772.478;2.772.478;2.772.478;;;;;;;;;919.088;919.088;29.377.008;;;;;;1.791.508;1.791.508
10249;PO6;Gem Emmen Sec L & Z Ondw;2015;27.161.277;27.161.277;;1.945.560;1.945.560;1.945.560;;;;;;;;;1.418.398;1.418.398;30.525.235;;;;;;2.138.374;2.138.374
10426;PO5;Gem Hoogez Sap Afd POI;2011;11.407.919;11.407.919;;171.501;171.501;15.466;;;156.035;;;;;;;;11.579.420;;;;;;794.369;794.369
10426;PO5;Gem Hoogez Sap Afd POI;2012;11.349.023;11.349.023;;336.014;336.014;;;;336.014;;;;;;;;11.685.037;;;;;;610.021;610.021
10426;PO5;Gem Hoogez Sap Afd POI;2013;11.499.846;11.499.846;;238.367;238.367;;;;238.367;;;;;;;;11.738.213;;;;;;667.084;667.084
10426;PO5;Gem Hoogez Sap Afd POI;2014;10.959.760;10.959.760;;4.647;4.647;4.647;;;;;;;;;472.354;;11.436.761;;;;;;1.132.284;1.132.284
10426;PO5;Gem Hoogez Sap Afd POI;2015;10.647.740;10.647.740;;213.027;213.027;213.027;;;;;;;;;529.526;529.526;11.390.293;;;;;;2.344.434;2.344.434
10925;PO4;Gem Vlagtwedde;2011;3.563.408;3.563.408;;40.639;40.639;8.193;;;32.446;;;;;;;;3.604.047;;;;;;753.152;753.152
10925;PO4;Gem Vlagtwedde;2012;3.699.452;3.699.452;;12.246;12.246;2.681;;;9.565;;;;;;;;3.711.698;;;;;;1.020.208;1.020.208
10925;PO4;Gem Vlagtwedde;2013;3.821.513;3.821.513;;16.887;16.887;;;;16.887;;;;;;;;3.838.400;;;;;;552.876;552.876
10925;PO4;Gem Vlagtwedde;2014;4.016.944;4.016.944;;;;;;;;;;;;;47.007;47.007;4.063.951;;;;;;170.652;170.652
10925;PO4;Gem Vlagtwedde;2015;3.904.696;3.904.696;;523.476;523.476;523.476;;;;;;;;;;;4.428.172;;;;;;111.974;111.974
11711;PO5;Gem Noordenveld;2011;11.318.542;11.318.542;;92.453;92.453;10.864;;;81.589;;;;;;;;11.410.995;179.837;179.837;;;179.837;824.342;1.004.179
11711;PO5;Gem Noordenveld;2012;11.244.186;11.244.186;;328.201;328.201;28.441;;;299.760;;;;;;;;11.572.387;;;;;;851.665;851.665
11711;PO5;Gem Noordenveld;2013;11.543.051;11.543.051;;353.263;353.263;;;;353.263;;;;;;;;11.896.314;;;;;;904.582;904.582
11711;PO5;Gem Noordenveld;2014;10.677.436;10.677.436;;563.432;563.432;563.432;;;;;;;;;156;;11.241.024;;;;;;83.721;83.721
11711;PO5;Gem Noordenveld;2015;10.713.939;10.713.939;;525.587;525.587;525.587;;;;;;;;;714.109;714.109;11.953.635;;;;;;261.697;261.697
11764;PO1;Gemeente Eijsden;2011;360.843;360.843;;;;;;;;;;;;;;;360.843;;;;;;;
11764;PO1;Gemeente Eijsden;2012;374.747;374.747;;;;;;;;;;;;;;;374.747;;;;;;;
11764;PO1;Gemeente Eijsden;2013;406.900;406.900;;;;;;;;;;;;;;;406.900;;;;;;;
11764;PO1;Gemeente Eijsden;2014;421.551;421.551;;;;;;;;;;;;;;;421.551;;;;;;;
11764;PO1;Gemeente Eijsden;2015;453.378;453.378;;7.015;7.015;7.015;;;;;;;;;5.008;5.008;465.401;;;;;;14.018;14.018
13308;PO1;Bestcom Gieterveen;2011;582.539;582.539;;2.086;2.086;2.086;;;;;;;;;;;584.625;6.889;6.889;;;6.889;281;7.170
13308;PO1;Bestcom Gieterveen;2012;597.223;597.223;;;;;;;;;;;;;;;597.223;;;;;;10.931;10.931
13308;PO1;Bestcom Gieterveen;2013;604.369;604.369;;;;;;;;;;;;;;;604.369;;;;;;;
13308;PO1;Bestcom Gieterveen;2014;581.400;581.400;;16.218;16.218;16.218;;;;;;;;;16.864;;614.482;;;;;;1.337;1.337
13308;PO1;Bestcom Gieterveen;2015;571.803;571.803;;11.015;11.015;11.015;;;;;;;;;35.603;35.603;618.421;;;;;;1.432;1.432
13622;PO6;Stg Opb PO Haarlemmerm;2011;22.340.960;22.340.960;;78.342;78.342;78.342;;;;;;;;;;;22.419.302;;;;;;34.072;34.072
13622;PO6;Stg Opb PO Haarlemmerm;2012;22.734.845;22.734.845;;90.951;90.951;90.951;;;;;;;;;;;22.825.796;;;;;;27.422;27.422
13622;PO6;Stg Opb PO Haarlemmerm;2013;23.586.750;23.586.750;;;;;;;;;;;;;;;23.586.750;;;;;;30.862;30.862
13622;PO6;Stg Opb PO Haarlemmerm;2014;22.328.022;22.328.022;;;;;;;;;;;;;860.614;;23.188.636;;;;;;;
13622;PO6;Stg Opb PO Haarlemmerm;2015;23.648.521;23.648.521;;;;;;;;;;;;;;;23.648.521;;;;;;14.652;14.652
13662;PO4;Stg Openb Ondw Present;2011;9.377.152;9.377.152;;416.105;416.105;21.866;;;394.239;;;;;;;;9.793.257;;;;;;14.573;14.573
13662;PO4;Stg Openb Ondw Present;2012;9.201.585;9.201.585;;628.545;628.545;2.250;;;626.295;;;;;;;;9.830.130;;;;;;6.660;6.660
13662;PO4;Stg Openb Ondw Present;2013;9.262.766;9.262.766;;612.548;612.548;;;;612.548;;;;;;;;9.875.314;;;;;;3.068;3.068
13662;PO4;Stg Openb Ondw Present;2014;8.691.524;8.691.524;;461.685;461.685;461.685;;;;;;;;;136.949;136.949;9.290.158;;;;;;225;225
13662;PO4;Stg Openb Ondw Present;2015;8.731.496;8.731.496;;193.347;193.347;193.347;;;;;;;;;342.244;342.244;9.267.087;;;;;;;
13674;PO5;Stichting Oog;2011;14.820.943;14.820.943;;56.107;56.107;56.107;;;;;;;;;;;14.877.050;153.518;153.518;;;153.518;17.744;171.262
13674;PO5;Stichting Oog;2012;14.541.000;14.541.000;;12.210;12.210;12.210;;;;;;;;;;;14.553.210;127.974;127.974;;;127.974;;127.974
13674;PO5;Stichting Oog;2013;14.752.715;14.752.715;;;;;;;;;;;;;;;14.752.715;;;;;;119.125;119.125
13674;PO5;Stichting Oog;2014;13.914.438;13.914.438;;;;;;;;;;;;;268.916;268.916;14.183.354;;;;;;172.902;172.902
13674;PO5;Stichting Oog;2015;13.796.377;13.796.377;;;;;;;;;;;;;592.406;592.406;14.388.783;;;;;;528.156;528.156
13682;PO3;Opb Rp Opb PO Oegstgeest;2011;5.102.697;5.102.697;;93.138;93.138;19.684;;;73.454;;;;;;;;5.195.835;;;;;;125.852;125.852
13682;PO3;Opb Rp Opb PO Oegstgeest;2012;5.292.262;5.292.262;;159.980;159.980;;;;159.980;;;;;;;;5.452.242;;;;;;123.979;123.979
13682;PO3;Opb Rp Opb PO Oegstgeest;2013;5.427.512;5.427.512;;194.246;194.246;;;;194.246;;;;;;;;5.621.758;;;;;;99.392;99.392
13682;PO3;Opb Rp Opb PO Oegstgeest;2014;5.190.973;5.190.973;;161.676;161.676;;;;161.676;;;;;;77.586;;5.430.235;;;;;;108.253;108.253
13682;PO3;Opb Rp Opb PO Oegstgeest;2015;5.616.268;5.616.268;;111.875;111.875;111.875;;;;;;;;;175.976;175.976;5.904.119;;;;;;86.305;86.305
13683;PO5;Schoolbest L&E Nrd Groningen;2011;19.407.403;19.407.403;;835.634;835.634;149.094;;;686.540;;;;;;;;20.243.037;204.049;204.049;;;204.049;577.922;781.971
13683;PO5;Schoolbest L&E Nrd Groningen;2012;19.268.709;19.268.709;;869.799;869.799;76.000;;;793.799;;;;;;;;20.138.508;;;;;;839.890;839.890
13683;PO5;Schoolbest L&E Nrd Groningen;2013;19.215.327;19.215.327;;1.685.816;1.685.816;54.920;;;1.630.896;;;;;;;;20.901.143;;;;;;367.569;367.569
13683;PO5;Schoolbest L&E Nrd Groningen;2014;19.418.061;19.418.061;;871.188;871.188;871.188;;;;;;;;;181.646;;20.470.895;;;;;;315.981;315.981
13683;PO5;Schoolbest L&E Nrd Groningen;2015;20.115.941;20.115.941;;1.050.606;1.050.606;1.050.606;;;;;;;;;521.989;521.989;21.688.536;;;;;;405.137;405.137
13785;PO5;BC OPO Assen;2011;19.720.000;19.720.000;;;;;;;;;;;;;;;19.720.000;7.000;7.000;;;7.000;568.000;575.000
13785;PO5;BC OPO Assen;2012;19.267.000;19.267.000;;372.000;372.000;3.000;;;369.000;;;;;;;;19.639.000;17.000;17.000;;;17.000;462.000;479.000
13785;PO5;BC OPO Assen;2013;20.560.000;20.560.000;;;;;;;;;;;;;;;20.560.000;24.000;24.000;;;24.000;681.000;705.000
13785;PO5;BC OPO Assen;2014;19.751.000;19.751.000;;37.000;37.000;37.000;;;;;;;;;375.000;;20.163.000;2.000;2.000;;;2.000;482.000;484.000
13785;PO5;BC OPO Assen;2015;19.753.000;19.753.000;;111.000;111.000;111.000;;;;;;;;;939.000;939.000;20.803.000;;;;;;581.000;581.000
13839;PO1;BC Master Frankeskoalle;2011;406.370;406.370;;1.519;1.519;;;;;;1.519;;;;;;407.889;299;299;;;299;16.480;16.779
13839;PO1;BC Master Frankeskoalle;2012;416.678;416.678;;448;448;;;;;;448;;;;;;417.126;340;340;;;340;10.891;11.231
13839;PO1;BC Master Frankeskoalle;2013;428.135;428.135;;;;;;;;;;;;;;;428.135;394;394;;;394;11.391;11.785
13839;PO1;BC Master Frankeskoalle;2014;413.090;413.090;;;;;;;;;;;;;;;413.090;427;427;;;427;5.281;5.708
13839;PO1;BC Master Frankeskoalle;2015;408.535;408.535;;;;;;;;;;;;;;;408.535;;;;;;8.162;8.162
13878;PO2;BC Openb BO Ameland;2011;910.091;910.091;;1.123;1.123;1.123;;;;;;;;;;;911.214;;;;;;43.215;43.215
13878;PO2;BC Openb BO Ameland;2012;991.154;991.154;;;;;;;;;;;;;;;991.154;;;;;;;
13878;PO2;BC Openb BO Ameland;2013;820.908;820.908;;;;;;;;;;;;;;;820.908;;;;;;;
13878;PO2;BC Openb BO Ameland;2014;825.034;825.034;;;;;;;;;;;;;;;825.034;;;;;;1.915;1.915
13878;PO2;BC Openb BO Ameland;2015;882.154;882.154;;;;;;;;;;;;;;;882.154;;;;;;2.020;2.020
20012;PO2;Ver v Prot Chr Basisond;2011;1.188.011;1.188.011;;22.290;22.290;4.057;;;18.233;;;;;;;;1.210.301;;;;;;794;794
20012;PO2;Ver v Prot Chr Basisond;2012;1.183.949;1.183.949;;40.998;40.998;;;;40.998;;;;;;;;1.224.947;;;;;;794;794
20012;PO2;Ver v Prot Chr Basisond;2013;1.224.240;1.224.240;;38.949;38.949;;;;38.949;;;;;;;;1.263.189;;;;;;794;794
20012;PO2;Ver v Prot Chr Basisond;2014;1.195.041;1.195.041;;38.770;38.770;38.770;;;;;;;;;;;1.233.811;;;;;;794;794
20012;PO2;Ver v Prot Chr Basisond;2015;1.233.660;1.233.660;;64.202;64.202;64.202;;;;;;;;;25.887;25.887;1.323.749;;;;;;794;794
20137;REC;Stg v PC Spec Ond Voorst;2011;3.539.272;3.539.272;;;;;;;;;;;;;;;3.539.272;19.553;19.553;;;19.553;;19.553
20137;REC;Stg v PC Spec Ond Voorst;2012;3.589.290;3.589.290;;;;;;;;;;;;;;;3.589.290;;;;;;20.681;20.681
20137;REC;Stg v PC Spec Ond Voorst;2013;3.798.058;3.798.058;;;;;;;;;;;;;;;3.798.058;;;;;;19.053;19.053
20137;REC;Stg v PC Spec Ond Voorst;2014;3.419.170;3.419.170;;;;;;;;;;;;;;;3.419.170;;;;;;19.181;19.181
20137;REC;Stg v PC Spec Ond Voorst;2015;3.073.462;3.073.462;;;;;;;;;;;;;;;3.073.462;;;;;;11.771;11.771
20183;PO2;Ver v Chr Ond op Reform;2011;1.136.018;1.136.018;;55.931;55.931;2.160;;;53.771;;;;;;;;1.191.949;;;;;;8.000;8.000
20183;PO2;Ver v Chr Ond op Reform;2012;1.118.413;1.118.413;;74.156;74.156;3.142;;;71.014;;;;;;;;1.192.569;;;;;;957;957
20183;PO2;Ver v Chr Ond op Reform;2013;1.152.618;1.152.618;;71.777;71.777;;;;71.777;;;;;;;;1.224.395;;;;;;;
20183;PO2;Ver v Chr Ond op Reform;2014;1.098.369;1.098.369;;60.616;60.616;60.616;;;;;;;;;21.843;;1.180.828;;;;;;4.924;4.924
20183;PO2;Ver v Chr Ond op Reform;2015;1.119.865;1.119.865;;30.391;30.391;30.391;;;;;;;;;60.321;60.321;1.210.577;;;;;;;
20210;PO1;Stichting Matthijsje;2011;;;;365.205;365.205;;;;365.205;;;;;;;;365.205;64.195;64.195;;;64.195;;64.195
20210;PO1;Stichting Matthijsje;2012;355.585;355.585;;10.207;10.207;;;;10.207;;;;;;;;365.792;;;;;;8.678;8.678
20210;PO1;Stichting Matthijsje;2013;388.430;388.430;;10.044;10.044;;;;10.044;;;;;;;;398.474;;;;;;21.003;21.003
20210;PO1;Stichting Matthijsje;2014;368.477;368.477;;9.902;9.902;;;;9.902;;;;;;4.405;4.405;382.784;;;;;;32.075;32.075
20210;PO1;Stichting Matthijsje;2015;352.165;352.165;;11.048;11.048;11.048;;;;;;;;;;;363.213;;;;;;38.764;38.764
20233;REC;Stg Mijtijlsch Tilburg;2011;9.030.013;9.030.013;;;;;;;;;;;;;;;9.030.013;;;;;;53.962;53.962
20233;REC;Stg Mijtijlsch Tilburg;2012;9.561.019;9.561.019;;;;;;;;;;;;;;;9.561.019;;;;;;59.787;59.787
20233;REC;Stg Mijtijlsch Tilburg;2013;9.733.333;9.733.333;;;;;;;;;;;;;;;9.733.333;;;;;;63.006;63.006
20233;REC;Stg Mijtijlsch Tilburg;2014;9.754.431;9.754.431;;;;;;;;;;;;;;;9.754.431;;;;;;63.290;63.290
20233;REC;Stg Mijtijlsch Tilburg;2015;8.331.000;8.331.000;;;;;;;;;;;;;328.000;328.000;8.659.000;;;;;;56.000;56.000
20243;PO2;Ver Stg Insth Ned Herv;2011;1.943.585;1.943.585;;95.104;95.104;7.965;;;87.139;;;;;;;;2.038.689;;;;;;198;198
20243;PO2;Ver Stg Insth Ned Herv;2012;1.824.779;1.824.779;;146.519;146.519;;;;146.519;;;;;;;;1.971.298;;;;;;;
20243;PO2;Ver Stg Insth Ned Herv;2013;1.869.410;1.869.410;;128.812;128.812;;;;128.812;;;;;;;;1.998.222;;;;;;;
20243;PO2;Ver Stg Insth Ned Herv;2014;1.800.807;1.800.807;;93.008;93.008;93.008;;;;;;;;;15.730;;1.909.545;;;;;;;
20243;PO2;Ver Stg Insth Ned Herv;2015;1.928.334;1.928.334;;61.238;61.238;61.238;;;;;;;;;57.486;57.486;2.047.058;;;;;;;
20252;PO1;Jenaplanond Oudewater;2011;884.042;884.042;;62.425;62.425;4.771;;;57.654;;;;;;;;946.467;;;;;;14.327;14.327
20252;PO1;Jenaplanond Oudewater;2012;889.376;889.376;;53.540;53.540;;;;53.540;;;;;;;;942.916;;;;;;12.372;12.372
20252;PO1;Jenaplanond Oudewater;2013;925.643;925.643;;70.053;70.053;;;;70.053;;;;;;;;995.696;;;;;;14.544;14.544
20252;PO1;Jenaplanond Oudewater;2014;909.609;909.609;;28.926;28.926;28.926;;;;;;;;;23.439;23.439;961.974;;;;;;;
20252;PO1;Jenaplanond Oudewater;2015;900.397;900.397;;19.266;19.266;19.266;;;;;;;;;62.749;62.749;982.412;;;;;;;
20450;PO1;Ver tt H Verstr v BSO;2011;785.582;785.582;;41.223;41.223;6.865;;;34.358;;;;;;;;826.805;11.608;11.608;;;11.608;;11.608
20450;PO1;Ver tt H Verstr v BSO;2012;775.922;775.922;;57.587;57.587;6.416;;;51.171;;;;;;;;833.509;10.669;10.669;;;10.669;1.667;12.336
20450;PO1;Ver tt H Verstr v BSO;2013;791.965;791.965;;53.872;53.872;5.007;;;48.865;;;;;;;;845.837;8.616;8.616;;;8.616;450;9.066
20450;PO1;Ver tt H Verstr v BSO;2014;740.657;740.657;;36.058;36.058;36.058;;;;;;;;;13.801;13.801;790.516;6.468;6.468;;;6.468;2.400;8.868
20450;PO1;Ver tt H Verstr v BSO;2015;793.351;793.351;;21.094;21.094;21.094;;;;;;;;;43.393;43.393;857.838;;;;;;7.066;7.066
20671;PO5;WSKO;2011;19.786.735;19.786.735;;296.588;296.588;1.282;;;295.306;;;;;;;;20.083.323;914.380;914.380;;;914.380;;914.380
20671;PO5;WSKO;2012;19.756.777;19.756.777;;772.158;772.158;1.282;;;770.876;;;;;;;;20.528.935;;;;;;763.819;763.819
20671;PO5;WSKO;2013;20.680.085;20.680.085;;978.422;978.422;11.452;;;966.970;;;;;;;;21.658.507;;;;;;762.543;762.543
20671;PO5;WSKO;2014;19.985.613;19.985.613;;787.723;787.723;45.566;;;742.157;;;;;;131.174;;20.904.510;;;;;;362.243;362.243
20671;PO5;WSKO;2015;19.985.613;19.985.613;;727.242;727.242;727.242;;;;;;;;;355.332;355.332;21.068.187;;;;;;177.578;177.578
20835;REC;REC 't Gooi, Utrecht, W-Veluwe;2011;477.417;477.417;;2.490.259;2.490.259;;;;2.490.259;;;;;;;;2.967.676;;;;;;;
20835;REC;REC 't Gooi, Utrecht, W-Veluwe;2012;532.240;532.240;;2.306.336;2.306.336;;;;2.306.336;;;;;;;;2.838.576;;;;;;;
20835;REC;REC 't Gooi, Utrecht, W-Veluwe;2013;525.262;525.262;;3.488.490;3.488.490;1.339.908;;;2.148.582;;;;;;;;4.013.752;;;;;;;
20835;REC;REC 't Gooi, Utrecht, W-Veluwe;2014;283.652;283.652;;2.846.770;2.846.770;680.013;;;2.166.757;;;;;;;;3.130.422;;;;;;;
20905;PO1;Ver Instituut Schreuder;2011;868.818;868.818;;11.781;11.781;1.318;;;10.463;;;;;;;;880.599;;;;;;106.920;106.920
20905;PO1;Ver Instituut Schreuder;2012;959.477;959.477;;15.461;15.461;;;;15.461;;;;;;;;974.938;;;;;;141.785;141.785
20905;PO1;Ver Instituut Schreuder;2013;1.025.071;1.025.071;;65.322;65.322;;;;65.322;;;;;;;;1.090.393;;;;;;159.757;159.757
20905;PO1;Ver Instituut Schreuder;2014;1.070.497;1.070.497;;23.065;23.065;;;;23.065;;;;;;17.227;;1.110.789;;;;;;57.236;57.236
20905;PO1;Ver Instituut Schreuder;2015;1.045.698;1.045.698;;21.500;21.500;21.500;;;;;;;;;44.595;44.595;1.111.793;;;;;;57.250;57.250
20970;PO1;Scholen Ver Opv en Ond;2011;1.439.116;1.439.116;;63.301;63.301;5.426;;;57.875;;;;;;;;1.502.417;;;;;;126.936;126.936
20970;PO1;Scholen Ver Opv en Ond;2012;1.434.750;1.434.750;;57.432;57.432;2.276;;;55.156;;;;;;;;1.492.182;;;;;;158.511;158.511
20970;PO1;Scholen Ver Opv en Ond;2013;1.425.241;1.425.241;;165.744;165.744;;;;165.744;;;;;;;;1.590.985;;;;;;118.759;118.759
20970;PO1;Scholen Ver Opv en Ond;2014;1.452.662;1.452.662;;89.514;89.514;;;;89.514;;;;;;41.042;41.042;1.583.218;;;;;;125.065;125.065
20970;PO1;Scholen Ver Opv en Ond;2015;1.583.762;1.583.762;;55.545;55.545;55.545;;;;;;-102.880;-102.880;-102.880;;;1.742.187;;;;;;93.044;93.044
21338;CN;R.K. Schoolbestuur-Bonaire;2014;4.712.246;4.712.246;;79.205;79.205;79.205;;;;;;;;;;;4.791.451;;;;;;;
21338;CN;R.K. Schoolbestuur-Bonaire;2015;5.996.704;5.996.704;;179.574;179.574;179.574;;;;;;;;;;;6.176.278;;;;;;;
21339;CN;Bestuurscollege Bonaire;2014;1.614.251;1.614.251;;;;;;;;;;;;;;;1.614.251;;;;;;;
21339;CN;Bestuurscollege Bonaire;2015;2.131.089;2.131.089;;;;;;;;;;;;;;;2.131.089;;;;;;;
21341;CN;Stichting Leren is Leuk;2014;886.785;886.785;;;;;;;;;;;;;;;886.785;;;;;;83.435;83.435
21341;CN;Stichting Leren is Leuk;2015;1.263.829;1.263.829;;;;;;;;;;;;;;;1.263.829;;;;;;;
21350;CN;Bethel Methodist School;2014;549.526;549.526;;;;;;;;;;;;;;;549.526;;;;;;;
21351;CN;Governor de Graaff School;2015;675.828;675.828;;15.268;15.268;15.268;;;;;;;;;;;691.096;;;;;;;
21352;CN;St Eustatius S.D.A.;2014;504.662;504.662;;;;;;;;;;;;;;;504.662;;;;;;;
21352;CN;St Eustatius S.D.A.;2015;690.215;690.215;;10.789;10.789;10.789;;;;;;;;;;;701.004;;;;;;;
21353;CN;Foundation Catholic Education;2014;483.586;483.586;;28.945;28.945;28.945;;;;;;;;;;;512.531;;;;;;;
21353;CN;Foundation Catholic Education;2015;706.802;706.802;;82.111;82.111;82.111;;;;;;;;;;;788.913;;;;;;;
21355;CN;SKOSABA;2014;1.079.288;1.079.288;;;;;;;;;;;;;;;1.079.288;;;;;;;
21355;CN;SKOSABA;2015;1.369.659;1.369.659;;7.626;7.626;7.626;;;;;;;;;;;1.377.285;;;;;;;
21428;SWV;Stichting Amstelronde;2014;1.593.683;1.593.683;;;;;;;;;;981.973;981.973;981.973;;;611.710;;;;;;;
21428;SWV;Stichting Amstelronde;2015;3.774.724;3.774.724;;;;;;;;;;2.854.518;2.854.518;2.854.518;;;920.206;;;;;;;
21429;SWV;SWV PO Zuid-Kennemerland;2014;4.377.202;4.377.202;;342.849;342.849;342.849;;;;;;;;;;;4.720.051;;;;;;;
21429;SWV;SWV PO Zuid-Kennemerland;2015;6.764.947;6.764.947;;;;;;;;;;6.364.413;6.364.413;6.364.413;;;400.534;;;;;;;
21438;SWV;Stg. SWV PPO Zeeuws-Vlaanderen;2014;171.948;171.948;;;;;;;;;;;;;;;171.948;;;;;;;
21438;SWV;Stg. SWV PPO Zeeuws-Vlaanderen;2015;2.741.452;2.741.452;;25.717;25.717;25.717;;;;;;2.531.127;2.531.127;2.531.127;;;236.042;;;;;;;
21440;SWV;SWV Waterland PO;2014;465.305;465.305;;6.238;6.238;;;;6.238;;;;;;;;471.543;;;;;;;
21440;SWV;SWV Waterland PO;2015;3.330.227;3.330.227;;14.837;14.837;14.837;;;;;;1.453.577;1.453.577;1.453.577;;;1.891.487;;;;;;;
21446;SWV;Vereniging SWV PO De Eem;2014;3.708.810;3.708.810;;;;;;;;;;2.645.185;2.645.185;2.645.185;;;1.063.625;;;;;;;
21446;SWV;Vereniging SWV PO De Eem;2015;10.901.270;10.901.270;;;;;;;;;;8.763.562;8.763.562;8.763.562;;;2.137.708;;;;;;231.390;231.390
21447;SWV;SWV Twente Noord PO;2014;1.547.120;1.547.120;;960.188;960.188;960.188;;;;;;2.225.342;2.225.342;2.225.342;;;281.966;;;;;;;
21447;SWV;SWV Twente Noord PO;2015;4.066.738;4.066.738;;2.911.684;2.911.684;2.911.684;;;;;;4.838.652;4.838.652;4.838.652;;;2.139.770;;;;;;;
21449;SWV;St SWV PO Midden Holland;2014;1.879.815;1.879.815;;;;;;;;;;1.399.716;1.399.716;1.399.716;;;480.099;;;;;;12.000;12.000
21449;SWV;St SWV PO Midden Holland;2015;769.164;769.164;;;;;;;;;;;;;;;769.164;;;;;;;
21450;SWV;Stichting SWV 23-02;2014;2.995.830;2.995.830;;918.038;918.038;918.038;;;;;;;;;-3.291.175;;622.693;;;;;;;
21450;SWV;Stichting SWV 23-02;2015;9.229.007;9.229.007;;1.164.542;1.164.542;1.164.542;;;;;;8.803.033;8.803.033;8.803.033;;;1.590.516;;;;;;;
21455;SWV;SWV WSNS Deventer e.o.;2014;930.681;930.681;;468.466;468.466;;;;468.466;;;651.596;651.596;651.596;;;747.551;1.661.721;1.661.721;;;1.661.721;;1.661.721
21455;SWV;SWV WSNS Deventer e.o.;2015;2.988.493;2.988.493;;450.127;450.127;450.127;;;;;;1.436.973;1.436.973;1.436.973;;;2.001.647;;;;;;1.185.848;1.185.848
21457;SWV;Bestuur stg SWVPO De Meijerij;2014;2.897.619;2.897.619;;;;;;;;;;500.450;500.450;500.450;;;2.397.169;;;;;;5.520;5.520
21457;SWV;Bestuur stg SWVPO De Meijerij;2015;8.015.956;8.015.956;;;;;;;;;;2.088.984;2.088.984;2.088.984;;;5.926.972;;;;;;6.950;6.950
21458;SWV;bestuur stg. Passenderwijs;2014;804.663;804.663;;9.963;9.963;;;;9.963;;;;;;;;814.626;;;;;;39.623;39.623
21458;SWV;bestuur stg. Passenderwijs;2015;5.288.537;5.288.537;;22.874;22.874;22.874;;;;;;3.813.910;3.813.910;3.813.910;;;1.497.501;;;;;;120.035;120.035
21459;SWV;Stg SWV Ond op maat de Liemers;2014;897.803;897.803;;9.450;9.450;9.450;;;;;;545.686;545.686;545.686;;;361.567;;;;;;;
21459;SWV;Stg SWV Ond op maat de Liemers;2015;2.307.434;2.307.434;;107.038;107.038;107.038;;;;;;1.259.782;1.259.782;1.259.782;;;1.154.690;;;;;;;
21460;SWV;Bestuur SWV PO;2014;1.936.302;1.936.302;;;;;;;;;;;;;;;1.936.302;;;;;;;
21460;SWV;Bestuur SWV PO;2015;5.777.908;5.777.908;;;;;;;;;;;;;;;5.777.908;;;;;;;
21478;PO2;Ver Verstr Ond Geref;2011;2.307.543;2.307.543;;100.025;100.025;11.394;;;88.631;;;;;;;;2.407.568;14.805;14.805;;;14.805;36.398;51.203
21478;PO2;Ver Verstr Ond Geref;2012;2.245.637;2.245.637;;134.205;134.205;5.117;;;129.088;;;;;;;;2.379.842;1.156;1.156;;;1.156;38.027;39.183
21478;PO2;Ver Verstr Ond Geref;2013;2.275.604;2.275.604;;161.705;161.705;;;;161.705;;;;;;;;2.437.309;;;;;;15.190;15.190
21478;PO2;Ver Verstr Ond Geref;2014;2.141.947;2.141.947;;138.589;138.589;138.589;;;;;;;;;31.725;;2.312.261;;;;;;22.903;22.903
21478;PO2;Ver Verstr Ond Geref;2015;2.230.761;2.230.761;;114.417;114.417;114.417;;;;;;;;;77.730;77.730;2.422.908;;;;;;25.522;25.522
