PEILDATUM;BRIN_NUMMER;BEVOEGD_GEZAG_NUMMER;TOTAAL_AANTAL_LEERLINGEN;AANTAL_LEERLINGEN_4_TOT_EN_MET_7_JAAR;AANTAL_LEERLINGEN_8_JAAR_EN_OUDER;SCHOOLGEWICHT;GEMIDDELDE_GEWOGEN_LEEFTIJD;AANTAL_GEWICHTENLEERLINGEN_IN_IMPULSGEBIED;ONDERBOUW;BOVENBOUW;KLEINE_SCHOLEN_TOESLAG;DRIEVIERDE_OPSLAG_NEVENVESTIGINGEN;ZEER_KLEINE_SCHOLEN_TOESLAG;BESTRIJDING_ONDERWIJSACHTERSTANDEN;DIRECTIETOESLAG;TOTAAL_PERSONELE_BEKOSTIGING;IMPULSGEBIEDEN;PERSONEELS_EN_ARBEIDSMARKTBELEID;PRESTATIEBOX;TOTAAL
20141001;20HF;85476;288;139;149;16;42,53;0;515.394,31;384.364,47;0,00;0,00;0,00;50.148,66;36.215,98;986.123,42;0,00;150.877,75;23.420,16;1.160.421,33
20141001;20HH;85476;216;115;101;0;39,01;0;407.545,73;249.019,95;0,00;0,00;0,00;0,00;36.215,98;692.781,66;0,00;113.864,79;17.565,12;824.211,57
20141001;20HJ;85476;240;115;125;40;43,70;57;432.674,05;327.193,38;0,00;0,00;0,00;127.214,64;36.215,98;923.298,05;101.175,00;135.894,55;19.516,80;1.179.884,40
20141001;20HK;85476;218;99;119;0;34,84;0;331.609,96;277.316,93;0,00;0,00;0,00;0,00;36.215,98;645.142,87;0,00;114.768,67;17.727,76;777.639,30
20141001;20HL;85476;149;65;84;0;37,39;0;225.446,01;202.695,35;0,00;0,00;0,00;0,00;36.215,98;464.357,34;0,00;88.850,81;12.116,68;565.324,83
20141001;20HM;85476;194;106;88;6;39,19;17;376.539,78;217.481,26;0,00;0,00;0,00;18.016,57;36.215,98;648.253,59;30.175,00;110.865,59;15.776,08;805.070,26
20141001;20HQ;41775;147;75;72;20;39,75;30;268.376,44;179.245,98;0,00;0,00;0,00;60.496,30;36.215,98;544.334,70;53.250,00;93.538,53;11.954,04;703.077,27
20141001;20IM;65430;295;141;154;0;42,50;0;522.612,98;397.112,87;0,00;0,00;0,00;0,00;36.215,98;955.941,83;0,00;149.568,05;23.989,40;1.129.499,28
20141001;20IN;69447;507;250;257;13;44,32;0;947.817,20;677.873,79;0,00;0,00;0,00;41.662,16;36.215,98;1.703.569,13;0,00;249.013,87;41.229,24;1.993.812,24
20141001;20IQ;65430;227;116;111;0;41,52;0;424.654,75;282.705,15;0,00;0,00;0,00;0,00;36.215,98;743.575,88;0,00;118.836,13;18.459,64;880.871,65
20141001;20IR;69447;265;136;129;14;40,02;0;488.366,72;322.277,89;0,00;0,00;0,00;42.496,27;36.215,98;889.356,86;0,00;139.923,97;21.549,80;1.050.830,63
20141001;20IT;65430;218;118;100;0;40,67;0;427.303,41;251.934,47;0,00;0,00;0,00;0,00;36.215,98;715.453,86;0,00;114.768,67;17.727,76;847.950,29
20141001;20IY;65430;235;123;112;6;37,00;32;424.378,29;268.844,80;0,00;0,00;0,00;17.499,12;36.215,98;746.938,19;56.800,00;124.129,13;19.110,20;946.977,52
20141001;20IZ;69447;232;124;108;0;39,16;0;440.307,19;266.803,80;0,00;0,00;0,00;0,00;36.215,98;743.326,97;0,00;121.095,83;18.866,24;883.289,04
20141001;20JB;65430;192;81;111;0;32,16;0;261.203,49;249.032,45;0,00;0,00;0,00;0,00;36.215,98;546.451,92;0,00;108.284,23;15.613,44;670.349,59
20141001;20KF;75388;265;124;141;25;35,74;48;420.549,30;332.698,44;0,00;0,00;0,00;71.672,53;36.215,98;861.136,25;85.200,00;142.999,35;21.549,80;1.110.885,40
20141001;20KR;75388;316;138;178;31;42,50;62;511.493,55;459.000,59;0,00;0,00;0,00;97.126,41;36.215,98;1.103.836,53;110.050,00;167.725,77;25.697,12;1.407.309,42
20141001;20KT;75388;119;50;69;49;38,55;56;176.122,23;169.093,85;22.341,61;0,00;0,00;145.900,39;36.215,98;549.674,06;99.400,00;91.122,12;9.677,08;749.873,26
20141001;20KW;41775;489;242;247;0;39,39;0;861.902,38;612.031,40;0,00;0,00;0,00;0,00;36.215,98;1.510.149,76;0,00;237.244,41;39.765,48;1.787.159,65
20141001;20OQ;41545;452;188;264;12;37,01;0;648.730,83;633.791,16;0,00;0,00;0,00;35.002,97;36.215,98;1.353.740,94;0,00;223.877,59;36.756,64;1.614.375,17
20141001;20OW;41860;249;126;123;5;42,39;0;466.370,11;316.736,06;0,00;0,00;0,00;15.643,89;36.215,98;834.966,04;0,00;130.176,71;20.248,68;985.391,43
20141001;20PG;41545;166;84;82;0;42,11;0;309.817,61;210.413,24;0,00;0,00;0,00;0,00;36.215,98;556.446,83;0,00;96.533,79;13.499,12;666.479,74
20141001;20PN;41545;254;122;132;0;40,71;0;442.015,63;332.724,63;0,00;0,00;0,00;0,00;36.215,98;810.956,24;0,00;131.038,51;20.655,28;962.650,03
20141001;20SC;41716;166;70;96;68;44,77;94;266.856,40;254.613,67;0,00;0,00;0,00;219.130,18;36.215,98;776.816,23;166.850,00;115.545,23;13.499,12;1.072.710,58
20141001;20SE;41579;254;119;135;102;37,10;104;411.131,79;324.491,54;0,00;0,00;0,00;297.886,72;36.215,98;1.069.726,03;184.600,00;159.555,67;20.655,28;1.434.536,98
20141001;20SG;41663;329;171;158;20;45,01;38;653.804,12;420.280,65;0,00;0,00;0,00;64.639,08;36.215,98;1.174.939,83;67.450,00;170.525,61;26.754,28;1.439.669,72
20141001;20SH;42553;179;92;87;70;46,20;87;356.854,94;234.775,76;0,00;0,00;0,00;229.517,12;36.215,98;857.363,80;154.425,00;121.979,61;14.556,28;1.148.324,69
