BEVOEGD GEZAG NUMMER;GROEPERING;BEVOEGD GEZAG NAAM;JAAR;1.1 - IMMATERIËLE VASTE ACTIVA;1.2 - MATERIËLE VASTE ACTIVA;1.3 - FINANCIËLE VASTE ACTIVA;1.4 - VOORRADEN;1.5 - VORDERINGEN;1.6 - EFFECTEN;1.7 - LIQUIDE MIDDELEN;2.1 - EIGEN VERMOGEN;2.2 - VOORZIENINGEN;2.3 - LANGLOPENDE SCHULDEN;2.4 - KORTLOPENDE SCHULDEN;TA - TOTAAL ACTIVA;TP - TOTAAL PASSIVA;TVA - TOTAAL VASTE ACTIVA;TVLA - TOTAAL VLOTTENDE ACTIVA
10249;PO6;Gem Emmen Sec L & Z Ondw;2011;;3.403.793;7.981.095;;2.012.765;;234.765;7.524.765;347.760;;5.759.893;13.632.418;13.632.418;11.384.888;2.247.530
10249;PO6;Gem Emmen Sec L & Z Ondw;2012;;3.231.978;8.826.263;;1.667.685;;191.535;8.367.170;328.632;;5.221.659;13.917.461;13.917.461;12.058.241;1.859.220
10249;PO6;Gem Emmen Sec L & Z Ondw;2013;;3.669.747;9.991.654;;3.130.241;;98.116;9.486.400;348.439;;7.054.919;16.889.758;16.889.758;13.661.401;3.228.357
10249;PO6;Gem Emmen Sec L & Z Ondw;2014;;3.168.889;8.816.963;;2.213.183;;189.117;7.940.697;386.782;3.168.888;2.891.785;14.388.152;14.388.152;11.985.852;2.402.300
10249;PO6;Gem Emmen Sec L & Z Ondw;2015;;3.377.901;8.262.130;;2.095.945;;168.476;7.347.857;370.237;3.377.901;2.808.457;13.904.452;13.904.452;11.640.031;2.264.421
10426;PO5;Gem Hoogez Sap Afd POI;2011;;1.346.064;;;1.676.930;;60.623;1.488.838;105.987;;1.488.792;3.083.617;3.083.617;1.346.064;1.737.553
10426;PO5;Gem Hoogez Sap Afd POI;2012;;1.355.169;;;1.093.110;;60.379;1.268.292;100.696;;1.139.670;2.508.658;2.508.658;1.355.169;1.153.489
10426;PO5;Gem Hoogez Sap Afd POI;2013;;1.309.209;;;1.333.274;;64.427;1.427.057;96.085;;1.183.768;2.706.910;2.706.910;1.309.209;1.397.701
10426;PO5;Gem Hoogez Sap Afd POI;2014;;1.164.570;;;1.278.983;;49.685;1.388.222;86.504;;1.018.512;2.493.238;2.493.238;1.164.570;1.328.668
10426;PO5;Gem Hoogez Sap Afd POI;2015;;1.052.990;;;2.061.056;;35.091;1.628.126;1.025.466;;495.545;3.149.137;3.149.137;1.052.990;2.096.147
10925;PO4;Gem Vlagtwedde;2011;;384.541;372.325;;328.891;;;390.594;28.697;;666.466;1.085.757;1.085.757;756.866;328.891
10925;PO4;Gem Vlagtwedde;2012;;397.555;713.595;;362.175;;;721.143;27.885;;724.297;1.473.325;1.473.325;1.111.150;362.175
10925;PO4;Gem Vlagtwedde;2013;;339.992;617.571;;338.197;;;615.974;30.717;;649.069;1.295.760;1.295.760;957.563;338.197
10925;PO4;Gem Vlagtwedde;2014;;286.362;728.099;;1.022.167;;;728.099;30.502;;1.278.027;2.036.628;2.036.628;1.014.461;1.022.167
10925;PO4;Gem Vlagtwedde;2015;;315.407;822.965;;1.306.388;;42.953;865.917;33.688;;1.588.108;2.487.713;2.487.713;1.138.372;1.349.341
11711;PO5;Gem Noordenveld;2011;;2.179.896;3.710.031;;666.615;;118.210;4.636.704;154.647;;1.883.401;6.674.752;6.674.752;5.889.927;784.825
11711;PO5;Gem Noordenveld;2012;;2.261.963;3.821.332;;642.860;;111.971;4.733.442;149.864;;1.954.820;6.838.126;6.838.126;6.083.295;754.831
11711;PO5;Gem Noordenveld;2013;;2.130.999;3.886.294;;605.570;;95.916;5.100.567;174.948;;1.443.265;6.718.779;6.718.780;6.017.293;701.486
11711;PO5;Gem Noordenveld;2014;;2.016.709;3.952.365;;766.900;;85.242;4.624.017;168.530;;2.028.669;6.821.216;6.821.216;5.969.074;852.142
11711;PO5;Gem Noordenveld;2015;;1.864.215;4.019.556;;669.792;;91.338;4.546.338;170.775;;1.927.787;6.644.901;6.644.900;5.883.771;761.130
11764;PO1;Gemeente Eijsden;2011;;2.774;;;21.440;;183.137;101.698;46.824;;58.829;207.351;207.351;2.774;204.577
11764;PO1;Gemeente Eijsden;2012;;1.898;;;21.508;;173.163;106.451;47.384;;42.734;196.569;196.569;1.898;194.671
11764;PO1;Gemeente Eijsden;2013;;9.945;;;22.154;;165.049;111.788;42.501;;42.859;197.148;197.148;9.945;187.203
11764;PO1;Gemeente Eijsden;2014;;11.371;;;26.453;;169.605;122.467;44.462;;40.500;207.429;207.429;11.371;196.058
11764;PO1;Gemeente Eijsden;2015;;10.018;;;25.592;;207.731;149.624;48.361;;45.356;243.341;243.341;10.018;233.323
13308;PO1;Bestcom Gieterveen;2011;;144.248;;;28.726;;190.741;243.594;11.178;;108.943;363.715;363.715;144.248;219.467
13308;PO1;Bestcom Gieterveen;2012;;153.075;;;32.452;;182.851;261.456;13.678;;93.244;368.378;368.378;153.075;215.303
13308;PO1;Bestcom Gieterveen;2013;;148.563;;;33.218;;221.492;290.938;14.077;;98.258;403.273;403.273;148.563;254.710
13308;PO1;Bestcom Gieterveen;2014;;138.340;;;42.811;;235.997;305.838;12.433;;98.877;417.148;417.148;138.340;278.808
13308;PO1;Bestcom Gieterveen;2015;;123.225;;;32.895;;251.411;255.510;17.617;;134.404;407.531;407.531;123.225;284.306
13622;PO6;Stg Opb PO Haarlemmerm;2011;;1.660.769;;;1.442.227;;4.486.921;3.799.621;588.043;;3.202.249;7.589.917;7.589.913;1.660.769;5.929.148
13622;PO6;Stg Opb PO Haarlemmerm;2012;;1.788.086;;;1.610.538;;4.195.686;3.877.708;584.904;;3.131.698;7.594.310;7.594.310;1.788.086;5.806.224
13622;PO6;Stg Opb PO Haarlemmerm;2013;;1.952.557;;;1.313.480;;5.063.493;5.154.189;500.823;;2.674.518;8.329.530;8.329.530;1.952.557;6.376.973
13622;PO6;Stg Opb PO Haarlemmerm;2014;;2.088.022;;;1.670.819;;4.114.354;4.847.473;550.054;;2.475.668;7.873.195;7.873.195;2.088.022;5.785.173
13622;PO6;Stg Opb PO Haarlemmerm;2015;;2.200.912;;;1.601.327;;4.302.155;5.024.826;443.798;;2.635.770;8.104.394;8.104.394;2.200.912;5.903.482
13662;PO4;Stg Openb Ondw Present;2011;;1.454.022;;;696.779;;4.666.002;5.079.478;661.444;;1.075.881;6.816.803;6.816.803;1.454.022;5.362.781
13662;PO4;Stg Openb Ondw Present;2012;;1.316.508;;;605.627;;4.900.319;5.041.861;817.124;;963.469;6.822.454;6.822.454;1.316.508;5.505.946
13662;PO4;Stg Openb Ondw Present;2013;;1.242.167;;;539.141;;5.415.104;5.217.141;960.343;;1.018.928;7.196.412;7.196.412;1.242.167;5.954.245
13662;PO4;Stg Openb Ondw Present;2014;;1.215.962;15.168;;776.792;;4.971.256;4.708.652;1.213.565;;1.056.961;6.979.178;6.979.178;1.231.130;5.748.048
13662;PO4;Stg Openb Ondw Present;2015;;1.081.706;29.550;;642.956;;5.001.953;4.482.238;1.322.168;;951.759;6.756.165;6.756.165;1.111.256;5.644.909
13674;PO5;Stichting Oog;2011;;2.143.321;653.424;;1.018.561;;1.549.454;2.991.545;746.699;;1.626.516;5.364.760;5.364.760;2.796.745;2.568.015
13674;PO5;Stichting Oog;2012;;1.926.098;;;962.480;;2.304.881;2.936.562;828.538;;1.428.359;5.193.459;5.193.459;1.926.098;3.267.361
13674;PO5;Stichting Oog;2013;;1.935.082;;;1.019.794;;2.573.315;3.063.813;881.492;;1.582.886;5.528.191;5.528.191;1.935.082;3.593.109
13674;PO5;Stichting Oog;2014;;1.801.153;;;1.095.783;;2.472.336;3.065.298;840.967;;1.463.007;5.369.272;5.369.272;1.801.153;3.568.119
13674;PO5;Stichting Oog;2015;;2.731.682;;;1.316.203;;2.045.153;4.568.028;179.257;;1.345.753;6.093.038;6.093.038;2.731.682;3.361.356
13682;PO3;Opb Rp Opb PO Oegstgeest;2011;;461.311;;;580.369;;594.377;783.165;45.865;;807.027;1.636.057;1.636.057;461.311;1.174.746
13682;PO3;Opb Rp Opb PO Oegstgeest;2012;;479.883;;;520.090;;555.620;804.105;139.718;;611.770;1.555.593;1.555.593;479.883;1.075.710
13682;PO3;Opb Rp Opb PO Oegstgeest;2013;;531.691;;;483.080;;802.310;1.088.064;114.463;;614.554;1.817.081;1.817.081;531.691;1.285.390
13682;PO3;Opb Rp Opb PO Oegstgeest;2014;;615.853;;;482.082;;728.432;1.049.561;127.390;;649.416;1.826.367;1.826.367;615.853;1.210.514
13682;PO3;Opb Rp Opb PO Oegstgeest;2015;;673.954;;;426.084;;841.605;964.107;341.917;;635.619;1.941.643;1.941.643;673.954;1.267.689
13683;PO5;Schoolbest L&E Nrd Groningen;2011;;2.197.281;4.521.453;;1.545.725;;11.533.009;14.989.564;888.159;14.158;3.905.587;19.797.468;19.797.468;6.718.734;13.078.734
13683;PO5;Schoolbest L&E Nrd Groningen;2012;;3.734.625;4.741.915;;1.096.909;;7.728.180;11.281.886;554.623;;5.465.120;17.301.629;17.301.629;8.476.540;8.825.089
13683;PO5;Schoolbest L&E Nrd Groningen;2013;;3.530.679;5.924.585;;2.109.267;;3.080.426;10.882.323;620.642;;3.141.992;14.644.957;14.644.957;9.455.264;5.189.693
13683;PO5;Schoolbest L&E Nrd Groningen;2014;;3.603.877;6.247.665;;1.259.905;;2.223.515;9.448.608;753.819;;3.132.535;13.334.962;13.334.962;9.851.542;3.483.420
13683;PO5;Schoolbest L&E Nrd Groningen;2015;;3.383.898;5.750.001;;1.221.928;;1.751.036;8.235.121;961.396;;2.910.347;12.106.863;12.106.864;9.133.899;2.972.964
13785;PO5;BC OPO Assen;2011;;2.851.000;;;1.859.000;;5.453.000;5.087.000;501.000;;4.575.000;10.163.000;10.163.000;2.851.000;7.312.000
13785;PO5;BC OPO Assen;2012;;2.918.000;;;1.398.000;;3.552.000;4.908.000;233.000;;2.727.000;7.868.000;7.868.000;2.918.000;4.950.000
13785;PO5;BC OPO Assen;2013;;2.756.000;;;1.673.000;;3.756.000;5.519.000;210.000;;2.456.000;8.185.000;8.185.000;2.756.000;5.429.000
13785;PO5;BC OPO Assen;2014;;2.464.000;;;1.714.000;;3.386.000;5.055.000;184.000;;2.325.000;7.564.000;7.564.000;2.464.000;5.100.000
13785;PO5;BC OPO Assen;2015;;2.212.000;6.000;;1.668.000;;4.338.000;4.298.000;1.383.000;;2.543.000;8.224.000;8.224.000;2.218.000;6.006.000
13839;PO1;BC Master Frankeskoalle;2011;;66.191;;;35.897;;308.465;308.103;36.925;;65.525;410.553;410.553;66.191;344.362
13839;PO1;BC Master Frankeskoalle;2012;;68.221;;;72.086;;213.939;271.810;34.458;;47.978;354.246;354.246;68.221;286.025
13839;PO1;BC Master Frankeskoalle;2013;;64.989;;;33.621;;257.731;254.175;36.982;;65.184;356.341;356.341;64.989;291.352
13839;PO1;BC Master Frankeskoalle;2014;;58.439;;;37.476;;253.057;248.201;39.991;;60.780;348.972;348.972;58.439;290.533
13839;PO1;BC Master Frankeskoalle;2015;;48.619;;;44.311;;310.753;261.761;63.009;;78.913;403.683;403.683;48.619;355.064
13878;PO2;BC Openb BO Ameland;2011;;155.366;;;39.348;;-23.389;11.817;68.152;;91.356;171.325;171.325;155.366;15.959
13878;PO2;BC Openb BO Ameland;2012;;136.856;;;43.910;;-50.501;-46.123;82.095;;94.293;130.265;130.265;136.856;-6.591
13878;PO2;BC Openb BO Ameland;2013;;112.450;;;50.785;;-29.920;-25.563;76.103;;82.775;133.315;133.315;112.450;20.865
13878;PO2;BC Openb BO Ameland;2014;;137.712;;;46.919;;-38.126;-9.678;86.796;;69.387;146.505;146.505;137.712;8.793
13878;PO2;BC Openb BO Ameland;2015;;116.742;;;41.155;;53.808;34.918;102.678;;74.109;211.705;211.705;116.742;94.963
20012;PO2;Ver v Prot Chr Basisond;2011;;194.934;616;;73.269;;1.791.654;1.696.981;242.239;11.484;109.769;2.060.473;2.060.473;195.550;1.864.923
20012;PO2;Ver v Prot Chr Basisond;2012;;177.621;493;;74.451;;1.932.355;1.796.750;271.161;10.690;106.317;2.184.920;2.184.918;178.114;2.006.806
20012;PO2;Ver v Prot Chr Basisond;2013;;190.895;369;;75.860;;1.999.631;1.812.105;289.434;9.896;155.320;2.266.755;2.266.755;191.264;2.075.491
20012;PO2;Ver v Prot Chr Basisond;2014;;172.839;246;;94.129;;1.978.480;1.804.266;305.957;9.102;126.371;2.245.694;2.245.696;173.085;2.072.609
20012;PO2;Ver v Prot Chr Basisond;2015;;186.610;123;;77.602;;1.957.564;1.734.011;346.256;8.308;133.327;2.221.899;2.221.902;186.733;2.035.166
20137;REC;Stg v PC Spec Ond Voorst;2011;;133.695;;;452.241;;307.163;42.326;144.597;;706.176;893.099;893.099;133.695;759.404
20137;REC;Stg v PC Spec Ond Voorst;2012;;157.136;;;328.580;;271.466;199.731;66.763;;490.688;757.182;757.182;157.136;600.046
20137;REC;Stg v PC Spec Ond Voorst;2013;;145.199;;;245.383;;659.551;388.238;49.783;;612.112;1.050.133;1.050.133;145.199;904.934
20137;REC;Stg v PC Spec Ond Voorst;2014;;143.783;;;241.438;;301.618;366.146;47.714;;272.979;686.839;686.839;143.783;543.056
20137;REC;Stg v PC Spec Ond Voorst;2015;;160.369;;;263.220;;513.149;518.720;33.851;;384.167;936.738;936.738;160.369;776.369
20183;PO2;Ver v Chr Ond op Reform;2011;;387.860;;;71.807;;478.969;734.502;108.803;;95.331;938.636;938.636;387.860;550.776
20183;PO2;Ver v Chr Ond op Reform;2012;;377.362;;;66.134;;495.498;753.290;89.458;;96.247;938.994;938.995;377.362;561.632
20183;PO2;Ver v Chr Ond op Reform;2013;;364.700;;;56.431;;629.827;864.661;99.650;;86.647;1.050.958;1.050.958;364.700;686.258
20183;PO2;Ver v Chr Ond op Reform;2014;;344.240;;;107.794;;694.491;944.947;113.297;;88.281;1.146.525;1.146.525;344.240;802.285
20183;PO2;Ver v Chr Ond op Reform;2015;;364.191;;;72.440;;798.206;966.147;149.696;;118.994;1.234.837;1.234.837;364.191;870.646
20210;PO1;Stichting Matthijsje;2011;;44.983;2.153;;31.941;;261.237;294.224;6.800;;39.290;340.314;340.314;47.136;293.178
20210;PO1;Stichting Matthijsje;2012;;47.371;836;;27.816;;284.401;299.984;7.900;13.200;39.340;360.424;360.424;48.207;312.217
20210;PO1;Stichting Matthijsje;2013;;48.308;;;23.961;;346.785;352.450;4.600;11.400;50.604;419.054;419.054;48.308;370.746
20210;PO1;Stichting Matthijsje;2014;;94.902;;;28.627;;378.328;434.399;4.600;6.500;56.358;501.857;501.857;94.902;406.955
20210;PO1;Stichting Matthijsje;2015;;262.541;;;20.028;;267.908;493.432;3.400;1.600;52.045;550.477;550.477;262.541;287.936
20233;REC;Stg Mijtijlsch Tilburg;2011;;2.036.002;1.000.000;;456.400;1.000.000;1.790.661;4.738.492;587.452;;957.119;6.283.063;6.283.063;3.036.002;3.247.061
20233;REC;Stg Mijtijlsch Tilburg;2012;;1.879.900;;;560.367;1.000.000;2.964.589;5.006.168;541.220;;857.468;6.404.856;6.404.856;1.879.900;4.524.956
20233;REC;Stg Mijtijlsch Tilburg;2013;;1.667.098;;;648.476;;4.030.120;4.214.124;1.154.170;;977.400;6.345.694;6.345.694;1.667.098;4.678.596
20233;REC;Stg Mijtijlsch Tilburg;2014;;1.479.786;;;736.368;;4.767.469;5.293.553;848.066;;842.004;6.983.623;6.983.623;1.479.786;5.503.837
20233;REC;Stg Mijtijlsch Tilburg;2015;;1.390.000;;;809.000;;6.003.000;6.287.000;908.000;;1.007.000;8.202.000;8.202.000;1.390.000;6.812.000
20243;PO2;Ver Stg Insth Ned Herv;2011;;383.576;;;178.032;;417.834;722.761;88.284;;168.397;979.442;979.442;383.576;595.866
20243;PO2;Ver Stg Insth Ned Herv;2012;;413.599;;;130.929;;545.105;818.427;110.048;;161.158;1.089.633;1.089.633;413.599;676.034
20243;PO2;Ver Stg Insth Ned Herv;2013;;474.627;;;111.642;;696.627;995.466;119.992;;167.438;1.282.896;1.282.896;474.627;808.269
20243;PO2;Ver Stg Insth Ned Herv;2014;;444.384;;;175.997;;740.310;1.071.933;132.327;;156.431;1.360.691;1.360.691;444.384;916.307
20243;PO2;Ver Stg Insth Ned Herv;2015;;482.665;;;136.544;;862.739;1.106.997;170.223;;204.728;1.481.948;1.481.948;482.665;999.283
20252;PO1;Jenaplanond Oudewater;2011;;105.739;;;69.005;;324.258;323.660;68.403;;106.939;499.002;499.002;105.739;393.263
20252;PO1;Jenaplanond Oudewater;2012;;120.748;;;66.400;;370.782;385.073;66.781;;106.076;557.930;557.930;120.748;437.182
20252;PO1;Jenaplanond Oudewater;2013;;125.166;;;60.159;;466.338;482.746;68.781;;100.136;651.663;651.663;125.166;526.497
20252;PO1;Jenaplanond Oudewater;2014;;128.700;;;85.703;;485.075;524.134;67.215;;108.129;699.478;699.478;128.700;570.778
20252;PO1;Jenaplanond Oudewater;2015;;130.696;;;58.466;;541.936;544.687;75.149;;111.262;731.098;731.098;130.696;600.402
20450;PO1;Ver tt H Verstr v BSO;2011;;221.486;;;98.201;;319.540;503.283;53.731;;82.213;639.227;639.227;221.486;417.741
20450;PO1;Ver tt H Verstr v BSO;2012;;224.218;;;88.776;;323.406;505.572;40.552;;90.276;636.400;636.400;224.218;412.182
20450;PO1;Ver tt H Verstr v BSO;2013;;238.038;;;54.539;;391.856;575.869;45.414;;63.150;684.433;684.433;238.038;446.395
20450;PO1;Ver tt H Verstr v BSO;2014;;234.688;;;79.412;;465.858;630.522;49.700;;99.736;779.958;779.958;234.688;545.270
20450;PO1;Ver tt H Verstr v BSO;2015;;222.193;;;72.987;;529.740;666.848;69.195;;88.877;824.920;824.920;222.193;602.727
20671;PO5;WSKO;2011;;2.992.321;3.707.474;;1.716.330;;1.121.702;6.307.489;521.954;21.859;2.686.525;9.537.827;9.537.827;6.699.795;2.838.032
20671;PO5;WSKO;2012;;3.302.536;3.358.349;;1.832.804;;897.026;6.212.022;427.057;19.788;2.731.848;9.390.715;9.390.715;6.660.885;2.729.830
20671;PO5;WSKO;2013;;3.219.310;3.161.562;;1.928.972;;2.462.713;7.062.584;302.496;9.441;3.398.036;10.772.557;10.772.557;6.380.872;4.391.685
20671;PO5;WSKO;2014;;3.006.039;3.303.752;;1.820.888;;2.053.310;7.049.509;276.446;8.257;2.849.777;10.183.989;10.183.989;6.309.791;3.874.198
20671;PO5;WSKO;2015;;2.920.416;3.317.715;;1.924.132;;2.794.020;6.979.291;648.312;;3.328.680;10.956.283;10.956.283;6.238.131;4.718.152
20835;REC;REC 't Gooi, Utrecht, W-Veluwe;2011;;493.418;;;819.365;;9.111.060;1.130.019;30.988;;9.262.836;10.423.843;10.423.843;493.418;9.930.425
20835;REC;REC 't Gooi, Utrecht, W-Veluwe;2012;;399.109;;;784.870;;10.485.371;1.074.467;30.988;;10.563.895;11.669.350;11.669.350;399.109;11.270.241
20835;REC;REC 't Gooi, Utrecht, W-Veluwe;2013;;115.981;;;1.552.598;;9.055.924;506.291;582.400;;9.635.812;10.724.503;10.724.503;115.981;10.608.522
20835;REC;REC 't Gooi, Utrecht, W-Veluwe;2014;;;;;684.366;;7.680.450;501.900;69.894;;7.793.022;8.364.816;8.364.816;;8.364.816
20905;PO1;Ver Instituut Schreuder;2011;;85.497;;;104.246;;178.003;-82.016;20.527;;429.235;367.746;367.746;85.497;282.249
20905;PO1;Ver Instituut Schreuder;2012;;113.343;;;341.303;;29.833;130.018;20.527;;333.934;484.479;484.479;113.343;371.136
20905;PO1;Ver Instituut Schreuder;2013;;119.329;;;227.678;;18.391;76.522;26.628;;262.248;365.398;365.398;119.329;246.069
20905;PO1;Ver Instituut Schreuder;2014;;140.512;;;213.356;;49.317;74.665;107.153;;221.367;403.185;403.185;140.512;262.673
20905;PO1;Ver Instituut Schreuder;2015;;131.225;;;220.982;;93.304;115.791;132.859;;196.861;445.511;445.511;131.225;314.286
20970;PO1;Scholen Ver Opv en Ond;2011;;308.949;;;227.916;;747.927;772.683;119.050;;393.059;1.284.792;1.284.792;308.949;975.843
20970;PO1;Scholen Ver Opv en Ond;2012;;291.258;;;297.956;;544.691;686.323;102.473;;345.109;1.133.905;1.133.905;291.258;842.647
20970;PO1;Scholen Ver Opv en Ond;2013;;266.815;;;222.658;;808.415;838.838;134.743;;324.307;1.297.888;1.297.888;266.815;1.031.073
20970;PO1;Scholen Ver Opv en Ond;2014;;251.635;14.700;;266.925;;767.964;835.443;136.043;;329.738;1.301.224;1.301.224;266.335;1.034.889
20970;PO1;Scholen Ver Opv en Ond;2015;;262.627;14.700;;192.866;;940.822;882.857;189.891;;338.267;1.411.015;1.411.015;277.327;1.133.688
21338;CN;R.K. Schoolbestuur-Bonaire;2014;;1.531.641;;;531.802;;1.169.535;2.034.750;;;1.198.228;3.232.978;3.232.978;1.531.641;1.701.337
21338;CN;R.K. Schoolbestuur-Bonaire;2015;;2.008.619;;;28.178;;1.674.193;2.412.717;;;1.298.273;3.710.990;3.710.990;2.008.619;1.702.371
21339;CN;Bestuurscollege Bonaire;2014;;188.888;;;111.874;;893.453;372.223;;;821.992;1.194.215;1.194.215;188.888;1.005.327
21339;CN;Bestuurscollege Bonaire;2015;;403.605;;;37.427;;1.202.779;656.877;;;986.934;1.643.811;1.643.811;403.605;1.240.206
21341;CN;Stichting Leren is Leuk;2014;;223.478;;;103.079;;80.994;64.264;;;343.287;407.551;407.551;223.478;184.073
21341;CN;Stichting Leren is Leuk;2015;;342.280;;;5.277;;117.111;110.505;;;354.163;464.668;464.668;342.280;122.388
21350;CN;Bethel Methodist School;2014;;22.142;;;56.110;;154.196;22.114;;;210.334;232.448;232.448;22.142;210.306
21351;CN;Governor de Graaff School;2015;;71.038;;;193.282;;772.924;830.147;;;207.097;1.037.244;1.037.244;71.038;966.206
21352;CN;St Eustatius S.D.A.;2014;;85.009;;;25.372;;101.231;-219.795;;;431.407;211.612;211.612;85.009;126.603
21352;CN;St Eustatius S.D.A.;2015;;98.163;;;30.495;;44.815;-240.292;;;413.765;173.473;173.473;98.163;75.310
21353;CN;Foundation Catholic Education;2014;;36.627;;;9.988;;223.113;-192.951;;;462.679;269.728;269.728;36.627;233.101
21353;CN;Foundation Catholic Education;2015;;47.520;;;41.124;;319.952;-169.924;;;578.520;408.596;408.596;47.520;361.076
21355;CN;SKOSABA;2014;;55.197;;;62.292;;442.866;324.942;;;235.413;560.355;560.355;55.197;505.158
21355;CN;SKOSABA;2015;;94.614;;;84.325;;559.726;453.915;;;284.750;738.665;738.665;94.614;644.051
21428;SWV;Stichting Amstelronde;2014;;;;;129.139;;361.462;272.452;1.469;;216.680;490.601;490.601;;490.601
21428;SWV;Stichting Amstelronde;2015;;;;;40.769;;869.333;653.797;1.815;;254.490;910.102;910.102;;910.102
21429;SWV;SWV PO Zuid-Kennemerland;2014;;;;;21.242;;1.365.859;1.168.628;102.628;;115.845;1.387.101;1.387.101;;1.387.101
21429;SWV;SWV PO Zuid-Kennemerland;2015;;1.409;;;55.015;;805.891;668.686;104.741;;88.888;862.315;862.315;1.409;860.906
21438;SWV;Stg. SWV PPO Zeeuws-Vlaanderen;2014;;;;;25.165;;257.065;104.634;;;177.597;282.230;282.231;;282.230
21438;SWV;Stg. SWV PPO Zeeuws-Vlaanderen;2015;;392;;;27.128;;244.264;216.992;;;54.792;271.784;271.784;392;271.392
21440;SWV;SWV Waterland PO;2014;;5.445;;;63.803;;331.345;222.082;4.404;;174.107;400.593;400.593;5.445;395.148
21440;SWV;SWV Waterland PO;2015;;16.325;;;127.084;;259.743;227.479;4.587;;171.086;403.152;403.152;16.325;386.827
21446;SWV;Vereniging SWV PO De Eem;2014;;51.321;;;189.395;;1.239.427;465.936;13.764;;1.000.443;1.480.143;1.480.143;51.321;1.428.822
21446;SWV;Vereniging SWV PO De Eem;2015;;57.578;;;348.008;;1.671.791;1.420.298;12.357;;644.722;2.077.377;2.077.377;57.578;2.019.799
21447;SWV;SWV Twente Noord PO;2014;;2.685;;;22.162;;521.875;162.005;;;384.717;546.722;546.722;2.685;544.037
21447;SWV;SWV Twente Noord PO;2015;;2.445;;;44.686;;1.707.876;978.287;;;776.720;1.755.007;1.755.007;2.445;1.752.562
21449;SWV;St SWV PO Midden Holland;2014;;6.246;;;14.390;;409.525;222.363;;;207.798;430.161;430.161;6.246;423.915
21449;SWV;St SWV PO Midden Holland;2015;;4.814;;;49.737;;704.785;650.982;;;108.354;759.336;759.336;4.814;754.522
21450;SWV;Stichting SWV 23-02;2014;;;;;33.766;;556.171;520.504;;;69.433;589.937;589.937;;589.937
21450;SWV;Stichting SWV 23-02;2015;;;;;10.275;;2.393.609;1.775.662;;;628.222;2.403.884;2.403.884;;2.403.884
21455;SWV;SWV WSNS Deventer e.o.;2014;;26.460;;;107.055;;412.669;11.982;;;534.202;546.184;546.184;26.460;519.724
21455;SWV;SWV WSNS Deventer e.o.;2015;;25.288;;;34.845;;1.104.344;804.122;;;360.354;1.164.477;1.164.476;25.288;1.139.189
21457;SWV;Bestuur stg SWVPO De Meijerij;2014;;;;;3.921;;1.251.095;862.710;;;392.306;1.255.016;1.255.016;;1.255.016
21457;SWV;Bestuur stg SWVPO De Meijerij;2015;;76.571;;;269.958;;1.523.741;1.660.656;;;209.614;1.870.270;1.870.270;76.571;1.793.699
21458;SWV;bestuur stg. Passenderwijs;2014;;25.347;;;13.721;;1.036.809;515.550;13.380;;546.948;1.075.877;1.075.878;25.347;1.050.530
21458;SWV;bestuur stg. Passenderwijs;2015;;25.379;;;18.472;;622.529;520.088;13.764;;132.528;666.380;666.380;25.379;641.001
21459;SWV;Stg SWV Ond op maat de Liemers;2014;;38.964;;;87.971;;167.940;-48.004;8.108;;334.771;294.875;294.875;38.964;255.911
21459;SWV;Stg SWV Ond op maat de Liemers;2015;;35.746;;;44.112;;702.140;619.650;8.895;;153.453;781.998;781.998;35.746;746.252
21460;SWV;Bestuur SWV PO;2014;;6.275;;;61.109;;906.475;495.467;;;478.392;973.859;973.859;6.275;967.584
21460;SWV;Bestuur SWV PO;2015;;3.990;;;97.341;;1.719.635;1.374.440;;;446.525;1.820.966;1.820.965;3.990;1.816.976
21478;PO2;Ver Verstr Ond Geref;2011;;548.992;;;223.587;;1.811.737;2.003.629;312.636;;268.050;2.584.316;2.584.315;548.992;2.035.324
21478;PO2;Ver Verstr Ond Geref;2012;;465.098;;;218.941;;1.902.357;2.055.590;311.368;;219.437;2.586.396;2.586.395;465.098;2.121.298
21478;PO2;Ver Verstr Ond Geref;2013;;577.765;;;154.046;;1.915.082;2.181.205;246.560;;219.128;2.646.893;2.646.893;577.765;2.069.128
21478;PO2;Ver Verstr Ond Geref;2014;;529.414;;;181.513;;2.001.443;2.206.944;308.239;;197.187;2.712.370;2.712.370;529.414;2.182.956
21478;PO2;Ver Verstr Ond Geref;2015;;561.168;;;136.440;;2.212.553;2.310.486;382.541;;217.134;2.910.161;2.910.161;561.168;2.348.993
21572;SWV;stg. SWV Passend PO a.d.ijssel;2015;;;;;3.975;;479.279;113.662;787;;368.805;483.254;483.254;;483.254
21573;SWV;Stg. Swv Kop van Noord Holland;2014;;;;;163.198;;874.120;837.831;;;199.487;1.037.318;1.037.318;;1.037.318
21573;SWV;Stg. Swv Kop van Noord Holland;2015;;;;;14.182;;1.446.142;1.441.437;;;18.887;1.460.324;1.460.324;;1.460.324
21579;SWV;Best SWV Passend Ond.Eindhoven;2014;;;;;68.107;;103.260;137.662;;;33.705;171.367;171.367;;171.367
21579;SWV;Best SWV Passend Ond.Eindhoven;2015;;;;;43.270;;549.962;555.862;;;37.370;593.232;593.232;;593.232
