PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;CLUSTER;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20151001;00AO;00;VSO ZMOK De Bolster;7383BH;VOORST GEM VOORST; 285;Voorst;Gelderland;Vso;3/4;Protestants-Christelijk;20137;0;0;0;0;0;0;0;0;0;5;8;18;17;22;29;12;1;0;0;0;0;0;0;112
20151001;00AO;01;VSO ZMOK De Bolster;7322CZ;APELDOORN; 200;Apeldoorn;Gelderland;Vso;3/4;Protestants-Christelijk;20137;0;0;0;0;0;0;0;0;0;0;3;2;7;12;10;0;0;0;0;0;0;0;0;34
20151001;00AP;00;De Schanskorf;2715BT;ZOETERMEER; 637;Zoetermeer;Zuid-Holland;Bo;nvt;Gereformeerd vrijgemaakt;41646;0;11;9;11;11;9;11;14;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;87
20151001;00AR;00;"BS ""De Maasparel""";6107AW;STEVENSWEERT;1641;Maasgouw;Limburg;Bo;nvt;Rooms-Katholiek;41797;0;18;15;22;17;13;20;16;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139
20151001;00AV;00;De Morgenster;3201CN;SPIJKENISSE;1930;Nissewaard;Zuid-Holland;Bo;nvt;Gereformeerd vrijgemaakt;41646;0;8;9;9;5;13;11;8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70
20151001;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM; 599;Rotterdam;Zuid-Holland;So;3/4;Protestants-Christelijk;62077;0;0;0;0;1;5;11;14;14;21;4;0;0;0;0;0;0;0;0;0;0;0;0;70
20151001;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM; 599;Rotterdam;Zuid-Holland;Vso;3/4;Protestants-Christelijk;62077;0;0;0;0;0;0;0;0;1;17;24;4;0;1;0;0;0;0;0;0;0;0;0;47
20151001;00AW;02;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM; 599;Rotterdam;Zuid-Holland;So;3/4;Protestants-Christelijk;62077;0;0;0;0;1;1;1;5;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;24
20151001;00AZ;00;De Kiezel en de Kei;2971AR;BLESKENSGRAAF CA;1927;Molenwaard;Zuid-Holland;Bo;nvt;Openbaar;41638;0;14;11;16;9;18;14;16;17;3;0;0;0;0;0;0;0;0;0;0;0;0;0;118
20151001;00BA;00;OBS De Klimboom;6666EB;HETEREN;1734;Overbetuwe;Gelderland;Bo;nvt;Openbaar;41530;0;7;8;10;15;13;4;17;21;5;0;0;0;0;0;0;0;0;0;0;0;0;0;100
20151001;00BB;00;Obs Letterwies;9944AR;NIEUWOLDA;1895;Oldambt;Groningen;Bo;nvt;Openbaar;41613;0;8;6;11;8;11;18;15;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;89
20151001;00BS;00;Geref Basisschool;7711KP;NIEUWLEUSEN; 148;Dalfsen;Overijssel;Bo;nvt;Gereformeerd vrijgemaakt;41168;0;21;15;15;18;15;15;19;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;133
20151001;00BW;00;Jenaplanschool De Vlieger;6131KJ;SITTARD;1883;Sittard-Geleen;Limburg;Bo;nvt;Algemeen bijzonder;41516;0;7;21;11;15;9;13;9;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;98
20151001;00BZ;00;Geref SBO Het Speelwerk;8031HL;ZWOLLE; 193;Zwolle;Overijssel;Sbo;nvt;Gereformeerd vrijgemaakt;41632;0;2;2;7;9;5;12;15;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;65
20151001;00CD;00;Lockaert;5345JG;OSS; 828;Oss;Noord-Brabant;Bo;nvt;Algemeen bijzonder;80628;0;19;14;21;16;19;13;17;14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;136
20151001;00CG;00;De Harlekijn;6372AC;LANDGRAAF; 882;Landgraaf;Limburg;Bo;nvt;Openbaar;41516;0;53;66;54;48;46;38;38;54;13;0;0;0;0;0;0;0;0;0;0;0;0;0;410
20151001;00CS;00;De Leilinde;9671JA;WINSCHOTEN;1895;Oldambt;Groningen;Bo;nvt;Gereformeerd vrijgemaakt;41025;0;8;6;14;11;8;9;13;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;81
20151001;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;1674;Roosendaal;Noord-Brabant;Bo;nvt;Antroposofisch;41246;0;8;7;7;8;6;2;9;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;59
20151001;00CV;00;School Matthijsje;8388NA;OOSTERSTREEK;  98;Weststellingwerf;Friesland;Bo;nvt;Algemeen bijzonder;20210;0;6;2;8;4;8;2;9;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;45
