WPO (BAO);Peildatum:;1-10-2016;Bijgewerkt tot:;15-10-2016;;;Actieve inschrijvingen;;;;;;;waarvan bekostigd;;;;;;;waarvan niet bekostigd;;;;;;
BRIN_NUMMER;VESTIGINGSNUMMER;NAAM_INSTELLING;GEMEENTENAAM;PROVINCIE;SWV;BEVOEGD_GEZAG_NUMMER;TOTAAL;TOTAAL_JONGER_8;TOTAAL_8_EO;TOTAAL_GEW00;TOTAAL_GEW03;TOTAAL_GEW12;TOTAAL_NOAT;TOTAAL_BEKOSTIGD;BEK_JONGER_8;BEK_8_EO;BEK_GEW00;BEK_GEW03;BEK_GEW12;BEK_NOAT;TOTAAL_NIET_BEKOSTIGD;NIETBEK_JONGER_8;NIETBEK_8_EO;NIETBEK_GEW00;NIETBEK_GEW03;NIETBEK_GEW12;NIETBEK_NOAT
00HH;0;OBS De Vliete;NOORD BEVELAND;Zeeland;PO2902;41670;87;43;44;75;9;3;5;87;43;44;75;9;3;5;0;0;0;0;0;0;0
00HZ;0;Klavertje 4;OUDEWATER;Utrecht;PO2604;20252;200;99;101;200;0;0;8;200;99;101;200;0;0;8;0;0;0;0;0;0;0
00IF;0;RK BS Heilig Hart;TUBBERGEN;Overijssel;PO2301;50949;86;36;50;86;0;0;0;86;36;50;86;0;0;0;0;0;0;0;0;0;0
00IJ;0;PC BS De Schaapskooi;HELLENDOORN;Overijssel;PO2301;85600;243;96;147;241;2;0;6;243;96;147;241;2;0;6;0;0;0;0;0;0;0
00IM;0;Joos v Larensch;MIDDELBURG;Zeeland;PO0001;30145;107;55;52;101;4;2;0;106;55;51;100;4;2;0;1;0;1;1;0;0;0
01VE;0;GBS De Bron;BARNEVELD;Gelderland;PO2510;40945;96;55;41;92;1;3;5;96;55;41;92;1;3;5;0;0;0;0;0;0;0
01VG;0;Jenaplansch T Vlot;HOOGEZAND-SAPPEMEER;Groningen;PO2001;40865;93;44;49;90;2;1;1;92;43;49;89;2;1;1;1;1;0;1;0;0;0
01VG;1;Jenaplansch T Vlot;HAREN;Groningen;PO2001;40865;222;119;103;220;2;0;4;219;118;101;217;2;0;4;3;1;2;3;0;0;0
01VI;0;Chr Basissch De Wingerd;AMERSFOORT;Utrecht;PO2602;30010;264;116;148;240;10;14;65;264;116;148;240;10;14;65;0;0;0;0;0;0;0
01VQ;0;Rk Bs Beekvliet;VELSEN;Noord-Holland;PO2711;40257;454;238;216;453;0;1;3;454;238;216;453;0;1;3;0;0;0;0;0;0;0
01VR;0;Montessorischool;ZUIDPLAS;Zuid-Holland;PO2818;41226;225;119;106;220;0;5;16;225;119;106;220;0;5;16;0;0;0;0;0;0;0
01VY;0;Basissch De Lingewaard;GIESSENLANDEN;Zuid-Holland;PO2816;41638;249;138;111;221;20;8;12;249;138;111;221;20;8;12;0;0;0;0;0;0;0
01WQ;0;Geref Basissch De Rank;NOORDENVELD;Drenthe;PO2001;42607;122;66;56;116;0;6;7;122;66;56;116;0;6;7;0;0;0;0;0;0;0
01WU;0;Vrije Sch De Regenboog;EINDHOVEN;Noord-Brabant;PO3007;30027;456;253;203;455;1;0;0;456;253;203;455;1;0;0;0;0;0;0;0;0;0
01XH;0;Basisschool De Ammers;MOLENWAARD;Zuid-Holland;PO2816;41638;122;63;59;111;5;6;7;122;63;59;111;5;6;7;0;0;0;0;0;0;0
01XU;0;Hildegaertschool;ROTTERDAM;Zuid-Holland;PO2806;40774;411;208;203;409;2;0;2;411;208;203;409;2;0;2;0;0;0;0;0;0;0
02ZF;0;OBS Hendrik V Brederode;ZEDERIK;Zuid-Holland;PO2816;41638;67;38;29;58;5;4;1;66;37;29;58;5;3;1;1;1;0;0;0;1;0
02ZW;0;GBS 't Schrijvertje;APELDOORN;Gelderland;PO2505;40945;172;95;77;172;0;0;10;172;95;77;172;0;0;10;0;0;0;0;0;0;0
02ZY;0;Geref Bs De Wingerd;GOES;Zeeland;PO2902;41646;226;94;132;222;4;0;2;226;94;132;222;4;0;2;0;0;0;0;0;0;0
03AG;0;PC Basissch De Hoeksteen;VELSEN;Noord-Holland;PO2711;26158;218;121;97;216;1;1;2;217;121;96;215;1;1;2;1;0;1;1;0;0;0
03AH;0;Venlose Montessorischool;VENLO;Limburg;PO3101;41167;102;61;41;92;6;4;5;102;61;41;92;6;4;5;0;0;0;0;0;0;0
03AI;0;De Kleine Prins;DOETINCHEM;Gelderland;PO2503;77456;76;45;31;76;0;0;0;76;45;31;76;0;0;0;0;0;0;0;0;0;0
03AN;0;Basisschool Azelo;HOF VAN TWENTE;Overijssel;PO2302;41785;45;21;24;41;4;0;0;45;21;24;41;4;0;0;0;0;0;0;0;0;0
03AP;0;Basisschool De Belhamel;VALKENSWAARD;Noord-Brabant;PO3009;41662;78;38;40;67;6;5;18;78;38;40;67;6;5;18;0;0;0;0;0;0;0
03AZ;0;Geref Basissch De Rank;ALKMAAR;Noord-Holland;PO2703;41646;138;70;68;138;0;0;10;138;70;68;138;0;0;10;0;0;0;0;0;0;0
03BA;0;Jan V Rijckenborghschool;HILVERSUM;Noord-Holland;PO2709;30013;85;39;46;84;1;0;6;84;38;46;83;1;0;6;1;1;0;1;0;0;0
03BR;0;Basisschool De Kring;BEEK;Limburg;PO3104;83280;133;59;74;124;5;4;7;133;59;74;124;5;4;7;0;0;0;0;0;0;0
03BS;0;OBS Dr M L Kingschool;DINKELLAND;Overijssel;PO2302;41565;154;63;91;146;3;5;0;154;63;91;146;3;5;0;0;0;0;0;0;0;0
03BT;0;OBS Prinses Irene;HARDENBERG;Overijssel;PO2304;41630;68;38;30;66;2;0;2;68;38;30;66;2;0;2;0;0;0;0;0;0;0
03BU;0;Basisischool Margriet;HAARLEMMERLIEDE CA;Noord-Holland;PO2704;41500;114;55;59;100;7;7;52;114;55;59;100;7;7;52;0;0;0;0;0;0;0
03BV;0;De Trumakkers;HEEZE-LEENDE;Noord-Brabant;PO3008;41662;178;81;97;159;6;13;21;178;81;97;159;6;13;21;0;0;0;0;0;0;0
03BX;0;OBS De Hobbitstee;MONTFOORT;Utrecht;PO2604;41401;233;106;127;229;0;4;7;233;106;127;229;0;4;7;0;0;0;0;0;0;0
03BY;0;OBS De Wijzer;WEST MAAS EN WAAL;Gelderland;PO2507;41340;182;105;77;158;10;14;11;182;105;77;158;10;14;11;0;0;0;0;0;0;0
03CJ;0;Montessorischool;GOES;Zeeland;PO2902;77533;133;73;60;131;0;2;8;133;73;60;131;0;2;8;0;0;0;0;0;0;0
03CL;0;Lubertischool;TEXEL;Noord-Holland;PO2701;41841;64;34;30;58;6;0;5;64;34;30;58;6;0;5;0;0;0;0;0;0;0
03CO;0;GBS De Wegwijzer;STEENWIJKERLAND;Overijssel;PO2203;41168;68;36;32;67;1;0;2;68;36;32;67;1;0;2;0;0;0;0;0;0;0
03CT;0;De Golfslag;VEERE;Zeeland;PO2901;42610;123;54;69;116;5;2;4;123;54;69;116;5;2;4;0;0;0;0;0;0;0
03CV;0;De Zwerm;SCHAGEN;Noord-Holland;PO2701;41438;81;31;50;69;8;4;3;81;31;50;69;8;4;3;0;0;0;0;0;0;0
03CW;0;OBS Apollo;BREDA;Noord-Brabant;PO3003;41869;96;43;53;95;1;0;5;96;43;53;95;1;0;5;0;0;0;0;0;0;0
03DF;0;OBS Kromme Akkers;WINSUM;Groningen;PO2001;13683;65;34;31;64;1;0;0;65;34;31;64;1;0;0;0;0;0;0;0;0;0
03DG;0;OBS Klinkenborg;EEMSMOND;Groningen;PO2001;13683;58;26;32;52;5;1;0;58;26;32;52;5;1;0;0;0;0;0;0;0;0
03DH;0;OBS De Omnibus;PEEL EN MAAS;Limburg;PO3101;41398;145;77;68;137;6;2;6;145;77;68;137;6;2;6;0;0;0;0;0;0;0
03DJ;0;Basisschool De Jutter;VLIELAND;Friesland;PO2101;10928;69;27;42;69;0;0;0;69;27;42;69;0;0;0;0;0;0;0;0;0;0
03DK;0;Openbare Basisschool;BRONCKHORST;Gelderland;PO2501;41371;111;52;59;106;5;0;4;111;52;59;106;5;0;4;0;0;0;0;0;0;0
03DV;0;OBS Prins Claus;MONTFOORT;Utrecht;PO2604;41401;166;84;82;155;4;7;17;166;84;82;155;4;7;17;0;0;0;0;0;0;0
03DW;0;Obs Houwingaham;OLDAMBT;Groningen;PO2001;41613;102;47;55;81;21;0;3;102;47;55;81;21;0;3;0;0;0;0;0;0;0
03DX;0;Jan Prins;ROTTERDAM;Zuid-Holland;PO2806;41775;311;177;134;276;20;15;101;307;174;133;272;20;15;101;4;3;1;4;0;0;0
03EE;0;De Wereldboom;HULST;Zeeland;PO2903;40803;170;77;93;159;7;4;19;170;77;93;159;7;4;19;0;0;0;0;0;0;0
03EH;0;De Wereldweide;OLDEBROEK;Gelderland;PO2305;41345;40;18;22;33;3;4;11;40;18;22;33;3;4;11;0;0;0;0;0;0;0
03EH;1;De Wereldweide;OLDEBROEK;Gelderland;PO2305;41345;27;14;13;27;0;0;0;27;14;13;27;0;0;0;0;0;0;0;0;0;0
03EI;0;OBS Usquert;EEMSMOND;Groningen;PO2001;13683;79;40;39;74;2;3;0;79;40;39;74;2;3;0;0;0;0;0;0;0;0
03EJ;0;De Smeltkroes;COEVORDEN;Drenthe;PO2304;41630;58;27;31;20;7;31;43;58;27;31;20;7;31;43;0;0;0;0;0;0;0
03ES;0;OBS De Rijnschans;ALPHEN AAN DEN RIJN;Zuid-Holland;PO2813;41431;104;58;46;99;5;0;5;104;58;46;99;5;0;5;0;0;0;0;0;0;0
03ET;0;De Tamboerijn;NIEUWKOOP;Zuid-Holland;PO2813;41431;74;34;40;71;1;2;1;74;34;40;71;1;2;1;0;0;0;0;0;0;0
03EU;0;De Winde;PIJNACKER-NOOTDORP;Zuid-Holland;PO2802;41488;353;148;205;328;7;18;66;353;148;205;328;7;18;66;0;0;0;0;0;0;0
03EV;0;OBS De Klimop;REUSEL-DE MIERDEN;Noord-Brabant;PO3009;41662;251;118;133;246;0;5;8;251;118;133;246;0;5;8;0;0;0;0;0;0;0
03FH;0;De Schutse;MIDDEN-DELFLAND;Zuid-Holland;PO2803;41455;102;45;57;93;6;3;14;102;45;57;93;6;3;14;0;0;0;0;0;0;0
03FJ;0;Openbare Bs De Sterrenboom;KRIMPENERWAARD;Zuid-Holland;PO2814;41401;250;128;122;194;43;13;24;250;128;122;194;43;13;24;0;0;0;0;0;0;0
03FS;0;Basisschool Hartenaas;GRAVE;Noord-Brabant;PO2507;41443;177;109;68;169;3;5;15;177;109;68;169;3;5;15;0;0;0;0;0;0;0
03FT;0;Openbare Basisschool De Borgh;ZUIDHORN;Groningen;PO2001;41846;351;177;174;347;2;2;4;351;177;174;347;2;2;4;0;0;0;0;0;0;0
03FU;0;Arembergschool;ZWARTEWATERLAND;Overijssel;PO2203;41816;204;103;101;179;16;9;23;204;103;101;179;16;9;23;0;0;0;0;0;0;0
03GD;0;De Lelie;BODEGRAVEN-REEUWIJK;Zuid-Holland;PO0001;41534;159;79;80;146;13;0;1;159;79;80;146;13;0;1;0;0;0;0;0;0;0
03GE;0;Prinses Margriet School;ROTTERDAM;Zuid-Holland;PO2806;40237;366;204;162;269;40;57;168;366;204;162;269;40;57;168;0;0;0;0;0;0;0
03GJ;0;De Poeljeugd;GOES;Zeeland;PO2902;41582;84;31;53;83;1;0;0;84;31;53;83;1;0;0;0;0;0;0;0;0;0
03GL;0;De Wegwijzer;GRAVE;Noord-Brabant;PO2507;48348;51;27;24;44;6;1;3;51;27;24;44;6;1;3;0;0;0;0;0;0;0
03GP;0;Chr Bs De Open Hof;WOENSDRECHT;Noord-Brabant;PO3001;40517;50;24;26;38;10;2;0;49;24;25;37;10;2;0;1;0;1;1;0;0;0
03GR;0;Het Mozaiek;HOOGEVEEN;Drenthe;PO2203;40655;263;119;144;248;15;0;0;263;119;144;248;15;0;0;0;0;0;0;0;0;0
03GR;1;Het Mozaiek;HOOGEVEEN;Drenthe;PO2203;40655;49;29;20;41;8;0;0;49;29;20;41;8;0;0;0;0;0;0;0;0;0
03GT;0;Chr Basissch De Foareker;LITTENSERADIEL;Friesland;PO2101;42604;100;39;61;100;0;0;0;100;39;61;100;0;0;0;0;0;0;0;0;0;0
03GW;0;PC Basisschool de hoefer;SITTARD-GELEEN;Limburg;PO3104;83280;136;49;87;116;14;6;18;136;49;87;116;14;6;18;0;0;0;0;0;0;0
03GW;1;PC Basisschool de hoefer;SITTARD-GELEEN;Limburg;PO3104;83280;55;25;30;38;9;8;28;55;25;30;38;9;8;28;0;0;0;0;0;0;0
03HA;0;RK Basisschool Emmaus;BERNHEZE;Noord-Brabant;PO3006;41228;471;254;217;444;21;6;25;471;254;217;444;21;6;25;0;0;0;0;0;0;0
03HB;0;Koelmanschool;GOES;Zeeland;PO0001;42724;216;101;115;203;8;5;2;216;101;115;203;8;5;2;0;0;0;0;0;0;0
03HC;0;Christelijke Basisschool;ZALTBOMMEL;Gelderland;PO3005;76715;70;40;30;61;8;1;2;70;40;30;61;8;1;2;0;0;0;0;0;0;0
03HD;0;Basisschool De Lisbloem;LISSE;Zuid-Holland;PO2812;41366;273;106;167;247;22;4;23;273;106;167;247;22;4;23;0;0;0;0;0;0;0
03HE;0;Basisschool De Akker;LISSE;Zuid-Holland;PO0001;22765;282;134;148;262;15;5;7;282;134;148;262;15;5;7;0;0;0;0;0;0;0
03HF;0;Bs De Draaiende Wieken;ROERDALEN;Limburg;PO3102;41506;252;119;133;218;31;3;14;252;119;133;218;31;3;14;0;0;0;0;0;0;0
03HG;0;Basisschool De Bongerd;NEDERWEERT;Limburg;PO3103;50819;111;42;69;95;6;10;23;111;42;69;95;6;10;23;0;0;0;0;0;0;0
03HH;0;Basisschool Kon Beatrix;LANSINGERLAND;Zuid-Holland;PO2802;41646;184;91;93;184;0;0;1;184;91;93;184;0;0;1;0;0;0;0;0;0;0
03HI;0;Basisschool Rehoboth;VLAARDINGEN;Zuid-Holland;PO2807;41646;85;39;46;84;1;0;4;85;39;46;84;1;0;4;0;0;0;0;0;0;0
03HK;0;Basissch Guido De Bres;OMMEN;Overijssel;PO2304;41624;247;111;136;238;9;0;0;247;111;136;238;9;0;0;0;0;0;0;0;0;0
03HL;0;BS De Zjwiek;LEUDAL;Limburg;PO3102;23961;279;137;142;276;3;0;8;279;137;142;276;3;0;8;0;0;0;0;0;0;0
03HM;0;Gereformeerd Basisschool;DALFSEN;Overijssel;PO2304;41632;143;59;84;140;3;0;0;143;59;84;140;3;0;0;0;0;0;0;0;0;0
03HO;0;GBS Klim-op;LOPPERSUM;Groningen;PO2001;41025;79;46;33;78;1;0;1;79;46;33;78;1;0;1;0;0;0;0;0;0;0
03HP;0;Rehoboth;ZWARTEWATERLAND;Overijssel;PO0001;24195;244;107;137;215;29;0;0;244;107;137;215;29;0;0;0;0;0;0;0;0;0
03HQ;0;GBS de Levensboom;STAPHORST;Overijssel;PO2305;41168;179;101;78;176;2;1;1;179;101;78;176;2;1;1;0;0;0;0;0;0;0
03HR;0;Geref Basissch De Cirkel;ASSEN;Drenthe;PO2201;41025;199;100;99;199;0;0;0;199;100;99;199;0;0;0;0;0;0;0;0;0;0
03HS;0;GBS Oranje Nassau;ACHTKARSPELEN;Friesland;PO2101;42607;87;39;48;85;2;0;10;87;39;48;85;2;0;10;0;0;0;0;0;0;0
03HU;0;Rehobothschool;BARNEVELD;Gelderland;PO0001;24481;601;320;281;381;214;6;0;601;320;281;381;214;6;0;0;0;0;0;0;0;0
03HV;0;Geref Bs De Triangel;CAPELLE AAN DEN IJSSEL;Zuid-Holland;PO2818;41646;221;105;116;215;6;0;19;221;105;116;215;6;0;19;0;0;0;0;0;0;0
03HV;1;Geref Bs De Triangel;KRIMPEN AAN DEN IJSSEL;Zuid-Holland;PO2818;41646;135;69;66;135;0;0;2;135;69;66;135;0;0;2;0;0;0;0;0;0;0
03HY;0;Chr Basissch Eben Haezer;NEDER-BETUWE;Gelderland;PO0001;24715;381;200;181;301;80;0;0;381;200;181;301;80;0;0;0;0;0;0;0;0;0
03HZ;0;Ds Derksenschool;BUREN;Gelderland;PO2508;41424;39;22;17;39;0;0;0;39;22;17;39;0;0;0;0;0;0;0;0;0;0
03IA;0;Graaf Jan van Nassau Sch;VLISSINGEN;Zeeland;PO0001;42724;145;73;72;144;1;0;0;145;73;72;144;1;0;0;0;0;0;0;0;0;0
03IB;0;Chr Basissch De Reinboge;SUDWEST-FRYSLAN;Friesland;PO2101;42604;38;19;19;38;0;0;0;38;19;19;38;0;0;0;0;0;0;0;0;0;0
03IC;0;De Toonladder Nutsschool;HOF VAN TWENTE;Overijssel;PO2302;25131;129;60;69;129;0;0;1;129;60;69;129;0;0;1;0;0;0;0;0;0;0
03IH;0;Kath Bs Montessorischool;GOOISE MEREN;Noord-Holland;PO2709;25664;331;169;162;331;0;0;1;331;169;162;331;0;0;1;0;0;0;0;0;0;0
03IK;0;Basisschool Eben Haezer;THOLEN;Zeeland;PO0001;25833;338;172;166;308;30;0;0;338;172;166;308;30;0;0;0;0;0;0;0;0;0
03IV;0;Basisschool St Jozef;VENLO;Limburg;PO3101;75597;266;137;129;245;11;10;20;266;137;129;245;11;10;20;0;0;0;0;0;0;0
03IW;0;Chr Basissch Het Kompas;REIMERSWAAL;Zeeland;PO2902;41582;233;121;112;205;24;4;26;233;121;112;205;24;4;26;0;0;0;0;0;0;0
03IX;0;Basisschool Valkenheuvel;UTRECHTSE HEUVELRUG;Utrecht;PO2603;69447;165;46;119;122;16;27;77;165;46;119;122;16;27;77;0;0;0;0;0;0;0
03IY;0;Basisschool Jf Kennedy;MAASTRICHT;Limburg;PO3105;41373;599;298;301;565;18;16;8;599;298;301;565;18;16;8;0;0;0;0;0;0;0
03IZ;0;Basisschool St Vitus;BERGEN LB;Limburg;PO3101;37663;172;87;85;164;6;2;4;172;87;85;164;6;2;4;0;0;0;0;0;0;0
03JB;0;Kindcentrum Platijn;BEST;Noord-Brabant;PO3007;26977;144;67;77;132;8;4;43;144;67;77;132;8;4;43;0;0;0;0;0;0;0
03JC;0;Kbs John F Kennedy;BREDA;Noord-Brabant;PO3003;41407;396;174;222;306;20;70;239;396;174;222;306;20;70;239;0;0;0;0;0;0;0
03JD;0;GBS Pieter Jongeling;ARNHEM;Gelderland;PO2506;40945;240;134;106;240;0;0;0;240;134;106;240;0;0;0;0;0;0;0;0;0;0
03JE;0;Basisschool De Ark;VIANEN;Utrecht;PO2605;41528;126;57;69;116;6;4;0;126;57;69;116;6;4;0;0;0;0;0;0;0;0
03JG;0;Bs De Kleine Wereld;KAAG EN BRAASSEM;Zuid-Holland;PO2813;40974;167;98;69;166;1;0;1;166;97;69;165;1;0;1;1;1;0;1;0;0;0
03JH;0;Basisschool Jeroen Bosch;S HERTOGENBOSCH;Noord-Brabant;PO3005;74049;390;208;182;361;16;13;51;390;208;182;361;16;13;51;0;0;0;0;0;0;0
03JI;0;Rk Basisschool G Majella;EPE;Gelderland;PO2509;76806;124;67;57;113;6;5;3;124;67;57;113;6;5;3;0;0;0;0;0;0;0
03JL;0;Basissch Titus Brandsma;BRUNSSUM;Limburg;PO3106;41516;233;108;125;208;18;7;33;232;108;124;207;18;7;33;1;0;1;1;0;0;0
03JP;0;RK Basissch St Joannes;HALDERBERGE;Noord-Brabant;PO3002;31017;192;90;102;180;10;2;7;192;90;102;180;10;2;7;0;0;0;0;0;0;0
03JQ;0;Basisschool Harlekijn;LEUDAL;Limburg;PO3102;23961;168;74;94;154;6;8;21;168;74;94;154;6;8;21;0;0;0;0;0;0;0
03JS;0;De Zonnewwende;ZUTPHEN;Gelderland;PO2501;28212;314;150;164;314;0;0;0;314;150;164;314;0;0;0;0;0;0;0;0;0;0
03JW;0;Dr EA Borgerschool;DE FRYSKE MARREN;Friesland;PO2101;42540;144;65;79;134;9;1;5;144;65;79;134;9;1;5;0;0;0;0;0;0;0
03JX;0;Katholieke basisschool de Den;EIJSDEN-MARGRATEN;Limburg;PO3105;42669;172;74;98;172;0;0;0;172;74;98;172;0;0;0;0;0;0;0;0;0;0
03KA;0;RK BS St. Willibrordus;SCHOUWEN-DUIVELAND;Zeeland;PO2902;77533;152;72;80;141;7;4;10;152;72;80;141;7;4;10;0;0;0;0;0;0;0
03KF;0;Jozefschool RK Basisond;AALSMEER;Noord-Holland;PO2708;28849;433;216;217;365;61;7;8;433;216;217;365;61;7;8;0;0;0;0;0;0;0
03KI;0;bs 't Bossche Hart;HALDERBERGE;Noord-Brabant;PO3002;31017;124;71;53;114;10;0;2;124;71;53;114;10;0;2;0;0;0;0;0;0;0
03KJ;0;Gemma School;VENLO;Limburg;PO3101;41018;180;88;92;171;1;8;9;180;88;92;171;1;8;9;0;0;0;0;0;0;0
03KM;0;Chr Bs Prins W Alexander;OLST-WIJHE;Overijssel;PO2305;40894;133;60;73;132;1;0;1;133;60;73;132;1;0;1;0;0;0;0;0;0;0
03KP;0;CBS Koning Willem-Alexander;EEMSMOND;Groningen;PO2001;41261;109;47;62;94;5;10;8;109;47;62;94;5;10;8;0;0;0;0;0;0;0
03KR;0;Basisschool De Lichtbron;HOOGEZAND-SAPPEMEER;Groningen;PO2001;41025;113;62;51;113;0;0;0;113;62;51;113;0;0;0;0;0;0;0;0;0;0
03KS;0;RK Basissch C v Leeuwen;BRUMMEN;Gelderland;PO2501;76806;207;109;98;186;19;2;17;207;109;98;186;19;2;17;0;0;0;0;0;0;0
