WPO (BAO);Peildatum:;1-10-2016;Bijgewerkt tot:;15-10-2016;;;Actieve inschrijvingen;;;;;;;waarvan bekostigd;;;;;;;waarvan niet bekostigd;;;;;;
BRIN_NUMMER;VESTIGINGSNUMMER;NAAM_INSTELLING;GEMEENTENAAM;PROVINCIE;SWV;BEVOEGD_GEZAG_NUMMER;TOTAAL;TOTAAL_JONGER_8;TOTAAL_8_EO;TOTAAL_GEW00;TOTAAL_GEW03;TOTAAL_GEW12;TOTAAL_NOAT;TOTAAL_BEKOSTIGD;BEK_JONGER_8;BEK_8_EO;BEK_GEW00;BEK_GEW03;BEK_GEW12;BEK_NOAT;TOTAAL_NIET_BEKOSTIGD;NIETBEK_JONGER_8;NIETBEK_8_EO;NIETBEK_GEW00;NIETBEK_GEW03;NIETBEK_GEW12;NIETBEK_NOAT
05NN;0;CBS De Fontein;WESTERVELD;Drenthe;PO2203;41196;51;20;31;48;2;1;1;50;20;30;48;2;0;0;1;0;1;0;0;1;1
05NO;0;PC BS Cavaljeschool;EDE;Gelderland;PO2510;42587;153;72;81;132;13;8;7;153;72;81;132;13;8;7;0;0;0;0;0;0;0
05NP;0;Koepelschool;EDE;Gelderland;PO2510;83968;317;150;167;297;10;10;16;317;150;167;297;10;10;16;0;0;0;0;0;0;0
05NQ;0;Menso Altingschool;TYNAARLO;Drenthe;PO2201;41486;380;235;145;375;2;3;12;379;234;145;374;2;3;12;1;1;0;1;0;0;0
05NS;0;Basisschool De Triangel;BRUMMEN;Gelderland;PO2501;84046;192;104;88;190;0;2;1;192;104;88;190;0;2;1;0;0;0;0;0;0;0
05NT;0;Het Sterrenpalet;BERKELLAND;Gelderland;PO2501;24844;185;103;82;182;2;1;0;184;102;82;181;2;1;0;1;1;0;1;0;0;0
05NU;0;School Met De Bijbel;RHENEN;Utrecht;PO2510;41621;211;83;128;201;10;0;4;211;83;128;201;10;0;4;0;0;0;0;0;0;0
05NW;0;Christelijke Basisschool;EPE;Gelderland;PO2509;84215;88;48;40;86;1;1;1;88;48;40;86;1;1;1;0;0;0;0;0;0;0
05NY;0;Chr Basisschool Rehoboth;OPSTERLAND;Friesland;PO2101;84332;71;32;39;69;2;0;0;71;32;39;69;2;0;0;0;0;0;0;0;0;0
05NZ;0;Chr Bs De Mids Marren;SUDWEST-FRYSLAN;Friesland;PO2101;42545;19;9;10;18;1;0;0;19;9;10;18;1;0;0;0;0;0;0;0;0;0
05OC;0;C.D.S. 't Kompas;AA EN HUNZE;Drenthe;PO2201;41486;100;42;58;94;2;4;0;100;42;58;94;2;4;0;0;0;0;0;0;0;0
05OD;0;PC Basissch De Wegwijzer;COEVORDEN;Drenthe;PO2304;41052;67;30;37;61;6;0;0;67;30;37;61;6;0;0;0;0;0;0;0;0;0
05OF;0;Rehobothschool;HARDINXVELD-GIESSENDAM;Zuid-Holland;PO2816;41439;403;194;209;387;14;2;18;403;194;209;387;14;2;18;0;0;0;0;0;0;0
05OJ;0;Prins Constantynschool;HOF VAN TWENTE;Overijssel;PO2302;27910;225;112;113;222;3;0;0;224;111;113;221;3;0;0;1;1;0;1;0;0;0
05OK;0;PC Bs Het Mosterdzaadje;EPE;Gelderland;PO0001;84787;53;34;19;53;0;0;0;53;34;19;53;0;0;0;0;0;0;0;0;0;0
05OL;0;CBS De Elout;S GRAVENHAGE;Zuid-Holland;PO2815;70176;258;155;103;234;13;11;96;258;155;103;234;13;11;96;0;0;0;0;0;0;0
05OM;0;PC Basissch De Wegwijzer;DONGEN;Noord-Brabant;PO3003;41001;98;46;52;89;9;0;5;98;46;52;89;9;0;5;0;0;0;0;0;0;0
05OM;1;PC Basissch De Wegwijzer;GEERTRUIDENBERG;Noord-Brabant;PO3003;41001;123;61;62;106;12;5;8;123;61;62;106;12;5;8;0;0;0;0;0;0;0
05ON;0;Bs Adelbrecht Windekind;BERG EN DAL;Gelderland;PO2507;42486;212;103;109;201;5;6;9;212;103;109;201;5;6;9;0;0;0;0;0;0;0
05OQ;0;Basisschool Rehoboth;MOLENWAARD;Zuid-Holland;PO2816;42559;143;75;68;138;4;1;4;143;75;68;138;4;1;4;0;0;0;0;0;0;0
05OR;0;CBS Jan Kuipers;GROOTEGAST;Groningen;PO2001;41571;181;81;100;178;3;0;0;181;81;100;178;3;0;0;0;0;0;0;0;0;0
05OS;0;Chr Bs De Goudenstein;NEERIJNEN;Gelderland;PO2508;41424;141;74;67;133;8;0;1;141;74;67;133;8;0;1;0;0;0;0;0;0;0
05OU;0;Chr BS It Fundamint;FERWERDERADIEL;Friesland;PO2101;40789;241;130;111;232;3;6;9;241;130;111;232;3;6;9;0;0;0;0;0;0;0
05OV;0;Basissch De Fjouwerhoeke;DONGERADEEL;Friesland;PO2101;40788;74;43;31;73;0;1;0;74;43;31;73;0;1;0;0;0;0;0;0;0;0
05OW;0;CBS De Winde;TYTSJERKSTERADIEL;Friesland;PO2101;40648;238;116;122;237;1;0;0;238;116;122;237;1;0;0;0;0;0;0;0;0;0
05OY;0;Basisschool De Regenboog;HARDINXVELD-GIESSENDAM;Zuid-Holland;PO2816;85502;217;116;101;189;26;2;3;217;116;101;189;26;2;3;0;0;0;0;0;0;0
05OZ;0;Basisschool De Ster;SLOCHTEREN;Groningen;PO2001;41025;50;24;26;47;2;1;2;50;24;26;47;2;1;2;0;0;0;0;0;0;0
05PA;0;Van Heemstraschool;HATTEM;Gelderland;PO2305;41473;256;97;159;245;8;3;11;256;97;159;245;8;3;11;0;0;0;0;0;0;0
05PC;0;Johannes Postschool;ALPHEN AAN DEN RIJN;Zuid-Holland;PO2813;41193;116;57;59;116;0;0;0;116;57;59;116;0;0;0;0;0;0;0;0;0;0
05PD;0;Chr Bs It Wraldfinster;SUDWEST-FRYSLAN;Friesland;PO2101;42545;142;70;72;139;2;1;0;142;70;72;139;2;1;0;0;0;0;0;0;0;0
05PF;0;Basisschool Pr Juliana;KAMPEN;Overijssel;PO2305;41125;94;50;44;94;0;0;2;94;50;44;94;0;0;2;0;0;0;0;0;0;0
05PH;0;Chr Basissch Mons Sinai;OLDAMBT;Groningen;PO2001;41845;71;27;44;65;5;1;7;71;27;44;65;5;1;7;0;0;0;0;0;0;0
05PJ;0;CNS De Kievitsheuvel;NEERIJNEN;Gelderland;PO2508;41424;84;45;39;76;7;1;1;84;45;39;76;7;1;1;0;0;0;0;0;0;0
05PK;0;Chr Bs Votum Nostrum;OPSTERLAND;Friesland;PO2101;86035;102;39;63;95;7;0;0;102;39;63;95;7;0;0;0;0;0;0;0;0;0
05PM;0;Basisschool De Skulpe;SUDWEST-FRYSLAN;Friesland;PO2101;41856;99;50;49;96;2;1;0;99;50;49;96;2;1;0;0;0;0;0;0;0;0
05PO;0;Bosbergschool;DE BILT;Utrecht;PO2603;75753;81;36;45;81;0;0;1;81;36;45;81;0;0;1;0;0;0;0;0;0;0
05PQ;0;Chr Bs Hoogengraven;OMMEN;Overijssel;PO2304;38482;42;22;20;30;11;1;6;42;22;20;30;11;1;6;0;0;0;0;0;0;0
05PR;0;Basisschool De Zaaier;DALFSEN;Overijssel;PO2304;41651;203;91;112;181;22;0;3;203;91;112;181;22;0;3;0;0;0;0;0;0;0
05PS;0;Basisschool De Meele;DALFSEN;Overijssel;PO2304;41651;32;15;17;26;5;1;0;32;15;17;26;5;1;0;0;0;0;0;0;0;0
05PU;0;Chr Basissch De Reinboge;LITTENSERADIEL;Friesland;PO2101;42604;30;12;18;30;0;0;3;30;12;18;30;0;0;3;0;0;0;0;0;0;0
05PV;0;Basisschool Eben Haezer;LOPIK;Utrecht;PO2605;41439;32;13;19;32;0;0;2;32;13;19;32;0;0;2;0;0;0;0;0;0;0
05PX;0;Chr Basissch De Trieme;DE FRYSKE MARREN;Friesland;PO2101;42540;113;50;63;111;2;0;0;111;49;62;109;2;0;0;2;1;1;2;0;0;0
05QA;0;Ds Johan v d Wendeschool;KAMPEN;Overijssel;PO2305;41125;54;23;31;53;1;0;0;54;23;31;53;1;0;0;0;0;0;0;0;0;0
05QB;0;School Met De Bijbel;KAMPEN;Overijssel;PO2305;41125;28;16;12;28;0;0;0;28;16;12;28;0;0;0;0;0;0;0;0;0;0
05QD;0;De Morgenster;SCHOUWEN-DUIVELAND;Zeeland;PO2902;41583;64;30;34;58;3;3;2;64;30;34;58;3;3;2;0;0;0;0;0;0;0
05QE;0;Chr Basissch Merlettes;ACHTKARSPELEN;Friesland;PO2101;41005;124;59;65;114;10;0;1;124;59;65;114;10;0;1;0;0;0;0;0;0;0
05QF;0;SWS De Groene Borg;GROOTEGAST;Groningen;PO2001;41571;71;26;45;68;3;0;0;71;26;45;68;3;0;0;0;0;0;0;0;0;0
05QH;0;Eben Haezer;MOLENWAARD;Zuid-Holland;PO2816;42559;155;78;77;140;14;1;5;155;78;77;140;14;1;5;0;0;0;0;0;0;0
05QI;0;Basisschool De Wegwijzer;BODEGRAVEN-REEUWIJK;Zuid-Holland;PO2814;41194;117;68;49;112;5;0;6;117;68;49;112;5;0;6;0;0;0;0;0;0;0
05QJ;0;Pr Willem Alexander Sch;LOCHEM;Gelderland;PO2501;27067;78;32;46;77;1;0;0;78;32;46;77;1;0;0;0;0;0;0;0;0;0
05QK;0;PC Basissch Ds Jonkers;ZEVENAAR;Gelderland;PO2504;61284;45;17;28;39;3;3;0;45;17;28;39;3;3;0;0;0;0;0;0;0;0
05QM;0;Basisschool De Schakel;UTRECHTSE HEUVELRUG;Utrecht;PO2603;41528;168;87;81;159;8;1;6;168;87;81;159;8;1;6;0;0;0;0;0;0;0
05QN;0;Ichthusschool;OMMEN;Overijssel;PO2304;40988;97;49;48;94;2;1;0;97;49;48;94;2;1;0;0;0;0;0;0;0;0
05QO;0;Chr Basissch De Klimop;AALTEN;Gelderland;PO2502;41787;86;36;50;82;4;0;5;86;36;50;82;4;0;5;0;0;0;0;0;0;0
05QP;0;Basisschool Podium;STICHTSE VECHT;Utrecht;PO2604;41138;94;48;46;87;4;3;3;94;48;46;87;4;3;3;0;0;0;0;0;0;0
05QS;0;Sjaloomschool;MENTERWOLDE;Groningen;PO2001;41845;73;39;34;68;2;3;0;73;39;34;68;2;3;0;0;0;0;0;0;0;0
05QT;0;Chr Basisschool De Rank;ZEDERIK;Zuid-Holland;PO2816;41439;232;120;112;229;3;0;1;231;119;112;228;3;0;1;1;1;0;1;0;0;0
05QU;0;De Regenboog;GOEREE-OVERFLAKKEE;Zuid-Holland;PO2811;42632;83;35;48;64;17;2;1;83;35;48;64;17;2;1;0;0;0;0;0;0;0
05QV;0;Basisschool De Schakel;GELDERMALSEN;Gelderland;PO2508;41827;88;48;40;83;5;0;4;88;48;40;83;5;0;4;0;0;0;0;0;0;0
05QW;0;CBS t Kompas;DONGERADEEL;Friesland;PO2101;40788;46;24;22;39;7;0;0;46;24;22;39;7;0;0;0;0;0;0;0;0;0
05QX;0;PCB Meester Lalleman;ZUIDPLAS;Zuid-Holland;PO2814;41194;239;121;118;231;6;2;16;239;121;118;231;6;2;16;0;0;0;0;0;0;0
05RB;0;Basisschool Kisveld;BERKELLAND;Gelderland;PO2501;24844;63;30;33;63;0;0;1;63;30;33;63;0;0;1;0;0;0;0;0;0;0
05RC;0;Chr Basissch De Klister;BORGER-ODOORN;Drenthe;PO2202;41486;247;112;135;235;11;1;10;247;112;135;235;11;1;10;0;0;0;0;0;0;0
05RD;0;PC Basisond Nieuw Buinen;BORGER-ODOORN;Drenthe;PO2202;41486;44;25;19;43;1;0;0;44;25;19;43;1;0;0;0;0;0;0;0;0;0
05RE;0;Basissch Gr v Prinsterer;PEKELA;Groningen;PO2001;41845;156;89;67;145;10;1;2;156;89;67;145;10;1;2;0;0;0;0;0;0;0
05RG;0;School Met De Bijbel;STICHTSE VECHT;Utrecht;PO0001;41534;113;58;55;105;8;0;1;113;58;55;105;8;0;1;0;0;0;0;0;0;0
05RH;0;Maranatha Basisschool;NIEUWKOOP;Zuid-Holland;PO2813;41193;133;58;75;124;6;3;8;133;58;75;124;6;3;8;0;0;0;0;0;0;0
05RK;0;Basisschool De Flambouw;STICHTSE VECHT;Utrecht;PO2604;41138;90;47;43;90;0;0;0;90;47;43;90;0;0;0;0;0;0;0;0;0;0
05RL;0;School Met De Bijbel;GIESSENLANDEN;Zuid-Holland;PO2816;89012;146;65;81;140;6;0;0;146;65;81;140;6;0;0;0;0;0;0;0;0;0
05RM;0;CHR BS de Stapstien;DE FRYSKE MARREN;Friesland;PO2101;41385;43;22;21;40;3;0;0;43;22;21;40;3;0;0;0;0;0;0;0;0;0
05RN;0;PC Basisschool Nyensleek;WESTERVELD;Drenthe;PO2203;41196;75;31;44;74;1;0;4;74;30;44;73;1;0;4;1;1;0;1;0;0;0
05RO;0;Rehoboth Basisschool;NEDER-BETUWE;Gelderland;PO2508;41154;248;118;130;230;14;4;6;248;118;130;230;14;4;6;0;0;0;0;0;0;0
05RP;0;C.B.S. de Haven;BEDUM;Groningen;PO2001;41261;20;8;12;20;0;0;1;20;8;12;20;0;0;1;0;0;0;0;0;0;0
05RR;0;Chr NAT BS De Flambou;FRANEKERADEEL;Friesland;PO2101;42656;47;21;26;43;4;0;0;47;21;26;43;4;0;0;0;0;0;0;0;0;0
05RS;0;Eben Haezerschool;DE FRYSKE MARREN;Friesland;PO2101;42540;56;27;29;55;0;1;0;56;27;29;55;0;1;0;0;0;0;0;0;0;0
05RT;0;Eben Haezersch;VEERE;Zeeland;PO0001;89571;119;55;64;114;5;0;0;118;55;63;113;5;0;0;1;0;1;1;0;0;0
05RV;0;Chr Basissch De Korenaar;OOSTZAAN;Noord-Holland;PO2705;41251;301;165;136;286;10;5;29;301;165;136;286;10;5;29;0;0;0;0;0;0;0
05RW;0;De Hervormde School;NEDER-BETUWE;Gelderland;PO0001;41827;244;120;124;224;19;1;0;244;120;124;224;19;1;0;0;0;0;0;0;0;0
05RX;0;Chr Basissch Klaver Trye;SUDWEST-FRYSLAN;Friesland;PO2101;42545;81;50;31;79;2;0;0;81;50;31;79;2;0;0;0;0;0;0;0;0;0
05RY;0;Chr Bs De Tarissing;DE FRYSKE MARREN;Friesland;PO2101;42540;128;70;58;126;2;0;0;128;70;58;126;2;0;0;0;0;0;0;0;0;0
05RZ;0;Chr Bs De Zevensprong;PEKELA;Groningen;PO2001;41845;67;34;33;55;10;2;2;67;34;33;55;10;2;2;0;0;0;0;0;0;0
05SB;0;Basisschool De Bron;GOEREE-OVERFLAKKEE;Zuid-Holland;PO2811;42632;79;34;45;78;1;0;0;79;34;45;78;1;0;0;0;0;0;0;0;0;0
05SC;0;PC Basisschool Het Baken;LANGEDIJK;Noord-Holland;PO2703;40712;229;130;99;216;5;8;14;229;130;99;216;5;8;14;0;0;0;0;0;0;0
05SE;0;Sch met de Bijbel De Akker;HOOGEVEEN;Drenthe;PO2203;41196;129;66;63;125;4;0;0;129;66;63;125;4;0;0;0;0;0;0;0;0;0
05SF;0;Basisschool De Wegwijzer;KORENDIJK;Zuid-Holland;PO2804;41127;98;51;47;97;1;0;5;98;51;47;97;1;0;5;0;0;0;0;0;0;0
05SG;0;Juliana v Stolbergschool;ZALTBOMMEL;Gelderland;PO0001;90130;211;98;113;197;12;2;0;211;98;113;197;12;2;0;0;0;0;0;0;0;0
05SI;0;Eben Haezerschool;LOPIK;Utrecht;PO2605;41439;117;57;60;116;1;0;1;117;57;60;116;1;0;1;0;0;0;0;0;0;0
05SJ;0;PCB De Wegwijzer;PUTTEN;Gelderland;PO2509;90169;265;129;136;247;17;1;5;265;129;136;247;17;1;5;0;0;0;0;0;0;0
05SK;0;PC Basisschool De Schelp;BINNENMAAS;Zuid-Holland;PO2804;41127;187;92;95;177;9;1;6;187;92;95;177;9;1;6;0;0;0;0;0;0;0
05SL;0;Basisschool Oostenwind;RAALTE;Overijssel;PO2305;40894;83;46;37;82;1;0;0;81;46;35;80;1;0;0;2;0;2;2;0;0;0
05SM;0;'t Kompas;HARDENBERG;Overijssel;PO2304;40946;55;25;30;52;2;1;0;55;25;30;52;2;1;0;0;0;0;0;0;0;0
05SO;0;Chr Basissch de Borgwal;RENSWOUDE;Utrecht;PO2510;41621;221;109;112;199;19;3;4;221;109;112;199;19;3;4;0;0;0;0;0;0;0
05SP;0;Basisschool De Zandbaan;REIMERSWAAL;Zeeland;PO0001;90351;69;33;36;64;5;0;0;69;33;36;64;5;0;0;0;0;0;0;0;0;0
05SR;0;PC Basisschool A S Talma;ROTTERDAM;Zuid-Holland;PO2806;74531;312;128;184;215;32;65;126;308;127;181;211;32;65;123;4;1;3;4;0;0;3
05SW;0;Basisschool Het Kompas;ROTTERDAM;Zuid-Holland;PO2806;41646;242;129;113;234;5;3;45;242;129;113;234;5;3;45;0;0;0;0;0;0;0
05SX;0;PC Bs De Arendsvleugel;DE WOLDEN;Drenthe;PO2203;41196;66;28;38;62;4;0;3;66;28;38;62;4;0;3;0;0;0;0;0;0;0
05SY;0;Chr Basissch Annewieke;OLDAMBT;Groningen;PO2001;41845;95;44;51;91;2;2;1;95;44;51;91;2;2;1;0;0;0;0;0;0;0
05SZ;0;Basisschool De Wiekslag;SLOCHTEREN;Groningen;PO2001;42607;116;60;56;116;0;0;0;116;60;56;116;0;0;0;0;0;0;0;0;0;0
05TB;0;PC Basisschool Noach;LEERDAM;Zuid-Holland;PO2816;41439;150;68;82;148;1;1;1;150;68;82;148;1;1;1;0;0;0;0;0;0;0
05TE;0;Chr Basissch Het Gebint;VLAGTWEDDE;Groningen;PO2001;41358;61;23;38;60;1;0;0;61;23;38;60;1;0;0;0;0;0;0;0;0;0
05TF;0;CNS De Wegwijzer;HARDENBERG;Overijssel;PO2304;91079;85;44;41;80;5;0;0;85;44;41;80;5;0;0;0;0;0;0;0;0;0
05TG;0;Johannes Calvijnschool;SLIEDRECHT;Zuid-Holland;PO0001;91118;550;275;275;521;29;0;0;550;275;275;521;29;0;0;0;0;0;0;0;0;0
05TH;0;Chr BS de Klinkert;DE FRYSKE MARREN;Friesland;PO2101;41385;74;34;40;74;0;0;0;74;34;40;74;0;0;0;0;0;0;0;0;0;0
05TI;0;School Met De Bijbel;GOEREE-OVERFLAKKEE;Zuid-Holland;PO2811;42632;255;122;133;251;3;1;2;255;122;133;251;3;1;2;0;0;0;0;0;0;0
05TL;0;Oranje Nassauschool;STADSKANAAL;Groningen;PO2001;41358;232;117;115;225;7;0;0;232;117;115;225;7;0;0;0;0;0;0;0;0;0
05TM;0;Chr Basissch De Skutslus;SUDWEST-FRYSLAN;Friesland;PO2101;41385;77;38;39;75;0;2;2;77;38;39;75;0;2;2;0;0;0;0;0;0;0
05TN;0;Chr. Basisschool De Vaart;MIDDEN-DRENTHE;Drenthe;PO2201;32073;158;86;72;98;11;49;102;158;86;72;98;11;49;102;0;0;0;0;0;0;0
05TO;0;Chr Basissch De Fontein;TEN BOER;Groningen;PO2001;41261;145;64;81;142;1;2;3;145;64;81;142;1;2;3;0;0;0;0;0;0;0
05TR;0;GEREF Basissch De Wissel;UTRECHT;Utrecht;PO2601;41646;207;113;94;202;2;3;7;207;113;94;202;2;3;7;0;0;0;0;0;0;0
05TS;0;Chr Basisschool De Veenster;NOORDENVELD;Drenthe;PO2001;32073;33;12;21;33;0;0;0;33;12;21;33;0;0;0;0;0;0;0;0;0;0
05TT;0;De Magdalon;VEERE;Zeeland;PO2901;40959;89;42;47;77;12;0;5;89;42;47;77;12;0;5;0;0;0;0;0;0;0
05TU;0;PC Basisschool De Zaaier;HEERDE;Gelderland;PO2305;41473;75;32;43;68;7;0;0;75;32;43;68;7;0;0;0;0;0;0;0;0;0
05TV;0;School met de Bijbel;VENLO;Limburg;PO3101;41018;274;151;123;272;2;0;7;274;151;123;272;2;0;7;0;0;0;0;0;0;0
05TW;0;Basisschool De Schakel;DE RONDE VENEN;Utrecht;PO2604;92210;122;53;69;117;4;1;14;122;53;69;117;4;1;14;0;0;0;0;0;0;0
05TY;0;Chr Kindcentrum Het Kompas;STEENWIJKERLAND;Overijssel;PO2203;41270;194;101;93;188;5;1;4;194;101;93;188;5;1;4;0;0;0;0;0;0;0
05TZ;0;Chr Basisschool Sjaloom;VOORST;Gelderland;PO2501;45969;98;50;48;94;3;1;0;98;50;48;94;3;1;0;0;0;0;0;0;0;0
05UE;0;Goede Herderschool PC;HEERDE;Gelderland;PO2305;92626;118;55;63;97;16;5;2;118;55;63;97;16;5;2;0;0;0;0;0;0;0
05UF;0;Ds van Maasschool;HEERDE;Gelderland;PO2305;92639;130;60;70;124;4;2;5;130;60;70;124;4;2;5;0;0;0;0;0;0;0
05UG;0;Chr Basisschool De Rank;EEMSMOND;Groningen;PO2001;41261;53;26;27;49;3;1;0;53;26;27;49;3;1;0;0;0;0;0;0;0;0
05UK;0;Chr Nat Sch Knienenbult;OUDE IJSSELSTREEK;Gelderland;PO2503;41787;78;32;46;75;3;0;0;78;32;46;75;3;0;0;0;0;0;0;0;0;0
05UL;0;Chr Basissch De Bining;KOLLUMERLAND CA;Friesland;PO2101;40635;74;35;39;71;3;0;0;74;35;39;71;3;0;0;0;0;0;0;0;0;0
05UM;0;Ds Vossersschool;TERSCHELLING;Friesland;PO2101;92899;77;43;34;71;4;2;0;76;42;34;70;4;2;0;1;1;0;1;0;0;0
05UN;0;Chr Basisschool De Rank;ZAANSTAD;Noord-Holland;PO2705;41251;189;86;103;177;9;3;9;188;86;102;176;9;3;9;1;0;1;1;0;0;0
05UO;0;Chr Basisschool De Rank;OLDEBROEK;Gelderland;PO2305;41473;203;105;98;194;8;1;5;203;105;98;194;8;1;5;0;0;0;0;0;0;0
05UR;0;CBS De Wegwijzer;MARUM;Groningen;PO2001;41571;104;54;50;101;2;1;0;104;54;50;101;2;1;0;0;0;0;0;0;0;0
05US;0;Basisschool De Regenboog;KAMPEN;Overijssel;PO2305;41125;87;42;45;83;2;2;0;87;42;45;83;2;2;0;0;0;0;0;0;0;0
05UT;0;Maranathaschool;OLDAMBT;Groningen;PO2001;41845;181;97;84;171;8;2;10;181;97;84;171;8;2;10;0;0;0;0;0;0;0
05UU;0;Basisschool De Piramiden;WINSUM;Groningen;PO2001;41261;162;73;89;162;0;0;2;162;73;89;162;0;0;2;0;0;0;0;0;0;0
05UW;0;Chr Basisschool De Arke;LEEUWARDEN;Friesland;PO2101;41419;51;30;21;48;2;1;0;51;30;21;48;2;1;0;0;0;0;0;0;0;0
05UX;0;Het Samenspel;GOES;Zeeland;PO2902;41582;131;66;65;130;1;0;7;131;66;65;130;1;0;7;0;0;0;0;0;0;0
05UY;0;Basisschool It Funemint;LITTENSERADIEL;Friesland;PO2101;42604;142;66;76;142;0;0;1;142;66;76;142;0;0;1;0;0;0;0;0;0;0
05VA;0;Chr Nationale School;DANTUMADIEL;Friesland;PO0001;93445;117;67;50;117;0;0;0;117;67;50;117;0;0;0;0;0;0;0;0;0;0
05VC;0;Akkerwal;WIERDEN;Overijssel;PO2301;92951;52;27;25;50;2;0;0;52;27;25;50;2;0;0;0;0;0;0;0;0;0
05VD;0;Oranjeschool vBasisond;KAMPEN;Overijssel;PO2305;41125;78;38;40;76;1;1;1;78;38;40;76;1;1;1;0;0;0;0;0;0;0
05VG;0;Basissch De Nessevliet;ZUIDPLAS;Zuid-Holland;PO2814;41194;164;110;54;153;8;3;13;164;110;54;153;8;3;13;0;0;0;0;0;0;0
05VI;0;Basissch Zonnewijzer;SCHOUWEN-DUIVELAND;Zeeland;PO2902;41583;40;18;22;35;2;3;1;40;18;22;35;2;3;1;0;0;0;0;0;0;0
05VJ;0;'T Paalhoofd;VEERE;Zeeland;PO2901;40959;106;52;54;99;6;1;4;106;52;54;99;6;1;4;0;0;0;0;0;0;0
05VK;0;Basisschool De Wegwijzer;MENTERWOLDE;Groningen;PO2001;41845;155;70;85;147;7;1;2;153;70;83;145;7;1;2;2;0;2;2;0;0;0
05VL;0;PC Basisschool De Aanwas;NISSEWAARD;Zuid-Holland;PO2808;41507;223;126;97;215;6;2;5;223;126;97;215;6;2;5;0;0;0;0;0;0;0
05VM;0;Chr Basissch M D Bijbel;ZALTBOMMEL;Gelderland;PO3005;94108;121;54;67;103;17;1;4;121;54;67;103;17;1;4;0;0;0;0;0;0;0
05VO;0;Montess BS Pallas Athene;AMERSFOORT;Utrecht;PO2602;41226;304;149;155;304;0;0;3;304;149;155;304;0;0;3;0;0;0;0;0;0;0
05VO;1;Montess BS Pallas Athene;STICHTSE VECHT;Utrecht;PO2604;41226;65;36;29;65;0;0;0;65;36;29;65;0;0;0;0;0;0;0;0;0;0
05VP;0;Cornelis Vrijschool;AMSTERDAM;Noord-Holland;PO2707;94459;254;122;132;254;0;0;1;253;121;132;253;0;0;1;1;1;0;1;0;0;0
05VR;0;Deventer Montessori Sch;DEVENTER;Overijssel;PO2303;95148;501;254;247;487;11;3;25;501;254;247;487;11;3;25;0;0;0;0;0;0;0
05VS;0;Instituut Van Kinsbergen;ELBURG;Gelderland;PO2509;95395;89;45;44;74;3;12;16;89;45;44;74;3;12;16;0;0;0;0;0;0;0
05VT;0;Enschedese Schoolverenig;ENSCHEDE;Overijssel;PO2302;95421;220;112;108;220;0;0;3;220;112;108;220;0;0;3;0;0;0;0;0;0;0
05VU;0;Schoolver Neutr Bijz Ond;GOUDA;Zuid-Holland;PO2814;95655;383;192;191;379;2;2;45;383;192;191;379;2;2;45;0;0;0;0;0;0;0
05VV;0;Schoolvereniging Wolters;S GRAVENHAGE;Zuid-Holland;PO2815;95681;442;212;230;442;0;0;2;442;212;230;442;0;0;2;0;0;0;0;0;0;0
05VW;0;Bs Haagsche School Ver;S GRAVENHAGE;Zuid-Holland;PO2815;95694;757;410;347;756;1;0;448;757;410;347;756;1;0;448;0;0;0;0;0;0;0
05VX;0;1e Ned Montessorischool;S GRAVENHAGE;Zuid-Holland;PO2815;46879;1588;912;676;1588;0;0;1;1587;912;675;1587;0;0;1;1;0;1;1;0;0;0
05VY;0;Montessorisch Waalsdorp;S GRAVENHAGE;Zuid-Holland;PO2815;95746;306;158;148;306;0;0;10;306;158;148;306;0;0;10;0;0;0;0;0;0;0
05WB;0;De Vrije School;S GRAVENHAGE;Zuid-Holland;PO2815;95785;441;218;223;439;2;0;4;441;218;223;439;2;0;4;0;0;0;0;0;0;0
05WD;0;Haarlemse Montessorisch;HAARLEM;Noord-Holland;PO2704;95954;295;151;144;295;0;0;2;295;151;144;295;0;0;2;0;0;0;0;0;0;0
05WG;0;Hilversumse Schoolver;HILVERSUM;Noord-Holland;PO2709;96266;258;124;134;258;0;0;5;258;124;134;258;0;0;5;0;0;0;0;0;0;0
05WH;0;Montessorischool Centrum;HILVERSUM;Noord-Holland;PO2709;41515;344;175;169;344;0;0;4;344;175;169;344;0;0;4;0;0;0;0;0;0;0
05WI;0;Godelindeschool;HILVERSUM;Noord-Holland;PO2709;96292;251;122;129;251;0;0;0;251;122;129;251;0;0;0;0;0;0;0;0;0;0
05WJ;0;Flevo school;HUIZEN;Noord-Holland;PO2709;96409;228;112;116;228;0;0;0;228;112;116;228;0;0;0;0;0;0;0;0;0;0
05WK;0;Larense Montessorischool;LAREN;Noord-Holland;PO2709;41376;235;129;106;235;0;0;2;235;129;106;235;0;0;2;0;0;0;0;0;0;0
05WL;0;Chr Basisschool De Arke;OPSTERLAND;Friesland;PO2101;96864;83;36;47;81;2;0;0;83;36;47;81;2;0;0;0;0;0;0;0;0;0
05WM;0;De Kralingsche School;ROTTERDAM;Zuid-Holland;PO2806;97137;226;115;111;226;0;0;0;226;115;111;226;0;0;0;0;0;0;0;0;0;0
05WN;0;Montessorischool;ROTTERDAM;Zuid-Holland;PO2806;41547;231;117;114;231;0;0;4;231;117;114;231;0;0;4;0;0;0;0;0;0;0
