PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;CLUSTER;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20161001;00JL;00;SSBO Kingma;3817GA;AMERSFOORT; 307;Amersfoort;Utrecht;Sbo;nvt;Algemeen bijzonder;21881;0;14;18;15;19;17;12;24;28;14;1;0;0;0;0;0;0;0;0;0;0;0;0;162
20161001;00JX;00;SSBO Wending;1187SM;AMSTELVEEN; 362;Amstelveen;Noord-Holland;Sbo;nvt;Openbaar;41580;0;1;2;2;10;12;14;20;20;9;0;0;0;0;0;0;0;0;0;0;0;0;0;90
20161001;00JY;00;SSBO Kompas;1784MC;DEN HELDER; 400;Den Helder;Noord-Holland;Sbo;nvt;Algemeen bijzonder;30742;0;4;11;9;12;20;27;21;26;4;0;0;0;0;0;0;0;0;0;0;0;0;0;134
20161001;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT; 505;Dordrecht;Zuid-Holland;So;3/4;Algemeen bijzonder;41417;0;10;20;20;15;30;22;28;24;18;1;0;0;0;0;0;0;0;0;0;0;0;0;188
20161001;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT; 505;Dordrecht;Zuid-Holland;Vso;3/4;Algemeen bijzonder;41417;0;0;0;0;0;0;0;0;0;0;3;2;3;1;1;0;1;0;0;0;0;0;0;11
20161001;00KM;00;Het Penta College;7552HA;HENGELO OV; 164;Hengelo;Overijssel;Vso;3/4;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;6;17;22;30;14;3;0;0;0;0;0;0;0;0;92
20161001;00KM;21;Mota;7602PD;ALMELO; 141;Almelo;Overijssel;Vso;3/4;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;0;0;9;23;32;32;27;10;1;0;0;0;0;134
20161001;00KM;22;Scholengroep Twente Speciaal;7602XR;ALMELO; 141;Almelo;Overijssel;So;3/4;Algemeen bijzonder;25859;0;0;0;4;7;13;27;17;27;14;0;0;0;0;0;0;0;0;0;0;0;0;0;109
20161001;00KM;23;Scholengroep Twente Speciaal;7604JE;ALMELO; 141;Almelo;Overijssel;Vso;3/4;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;8;26;20;13;18;9;0;0;1;1;1;0;0;0;97
20161001;00KM;32;De Bouwsteen;7555SG;HENGELO OV; 164;Hengelo;Overijssel;So;3/4;Algemeen bijzonder;25859;0;0;0;2;1;2;2;6;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;20
20161001;00KM;32;De Bouwsteen;7555SG;HENGELO OV; 164;Hengelo;Overijssel;Vso;3/4;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;3;11;18;11;15;6;2;0;0;0;0;0;0;0;66
20161001;00KM;33;De Kapstok;7554TP;HENGELO OV; 164;Hengelo;Overijssel;Vso;3/4;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;5;4;0;0;0;0;0;0;15
20161001;00KM;34;De Kapstok;7556BV;HENGELO OV; 164;Hengelo;Overijssel;Vso;3/4;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;0;2;1;0;0;0;0;0;10
20161001;00KM;35;De Kapstok;7554RL;HENGELO OV; 164;Hengelo;Overijssel;Vso;3/4;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;0;3;1;4;7;3;4;0;0;0;0;0;0;22
